Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
1,Garcia Taibo Javier,Receptor,200.0,2000,330.0,316.0,1-2019-2020,2019-2020,1-2019-2020
2,Linares Palmas Luis,Middle-blocker,197.0,1995,340.0,330.0,2-2019-2020,2019-2020,1-2019-2020
3,Bouza Ferreiro Victor,Receptor,187.0,1990,330.0,320.0,3-2019-2020,2019-2020,1-2019-2020
6,De Mello Hernandez Felipe,Colocador/a,194.0,1994,340.0,320.0,4-2019-2020,2019-2020,1-2019-2020
7,Herrero Font Jordi,Libero,182.0,1977,310.0,300.0,5-2019-2020,2019-2020,1-2019-2020
9,Lopez Garcia Ruben,Middle-blocker,200.0,1999,345.0,330.0,6-2019-2020,2019-2020,1-2019-2020
10,Dovale Fidalgo Mario,Libero,185.0,0,320.0,310.0,7-2019-2020,2019-2020,1-2019-2020
11,Villar Alvarez Pablo,Colocador/a,180.0,2002,320.0,310.0,8-2019-2020,2019-2020,1-2019-2020
12,Garcia Ibanez Adrian,Receptor,187.0,0,330.0,310.0,9-2019-2020,2019-2020,1-2019-2020
13,Knigge Matthew,Middle-blocker,202.0,1996,345.0,335.0,10-2019-2020,2019-2020,1-2019-2020
17,Gimenez Hernandez Jose Maria,Receptor,188.0,1995,340.0,320.0,11-2019-2020,2019-2020,1-2019-2020
19,Martin Herrero Luis,Opuesto,185.0,1996,340.0,320.0,12-2019-2020,2019-2020,1-2019-2020
20,Larranaga Ledo Unai,Libero,178.0,2000,320.0,310.0,13-2019-2020,2019-2020,1-2019-2020
2,Parres Morales Manuel,Middle-blocker,203.0,1984,0.0,0.0,14-2019-2020,2019-2020,2-2019-2020
3,Rodriguez Perez Victor,Receptor,201.0,0,0.0,0.0,15-2019-2020,2019-2020,2-2019-2020
5,Jukoski Da Silva Pedro H.,Colocador/a,193.0,1995,0.0,0.0,16-2019-2020,2019-2020,2-2019-2020
7,Ramon Ferragut Jordi,Receptor,189.0,0,0.0,0.0,17-2019-2020,2019-2020,2-2019-2020
8,Martin Perez Cesar,Colocador/a,189.0,1995,0.0,0.0,18-2019-2020,2019-2020,2-2019-2020
9,Bugallo Sanchez Pablo,Middle-blocker,197.0,1991,0.0,0.0,19-2019-2020,2019-2020,2-2019-2020
10,Ruiz Daniel,Receptor,193.0,1995,0.0,0.0,20-2019-2020,2019-2020,2-2019-2020
11,Caparros Guarido Arnau,Opuesto,202.0,1999,0.0,0.0,21-2019-2020,2019-2020,2-2019-2020
