Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
1,García Taibo Javier,Receptor,200.0,2000,316.0,330.0,1-2020-2021,2020-2021,1-2020-2021
2,Paradela Cortón Miguel,Líbero,184.0,2004,305.0,310.0,2-2020-2021,2020-2021,1-2020-2021
3,Bouza Ferreiro Víctor,Receptor,187.0,1990,320.0,330.0,3-2020-2021,2020-2021,1-2020-2021
4,Rattray Brandon,Opuesto,195.0,1998,315.0,330.0,4-2020-2021,2020-2021,1-2020-2021
7,Loeches Buitrago Guillermo,Colocador/a,181.0,1996,297.0,306.0,5-2020-2021,2020-2021,1-2020-2021
8,Tarta Razvan Sebastian,Opuesto,188.0,1998,320.0,330.0,6-2020-2021,2020-2021,1-2020-2021
9,López García Rubén,Middle-blocker,200.0,1999,330.0,345.0,7-2020-2021,2020-2021,1-2020-2021
10,Dovale Fidalgo Mario,Líbero,185.0,0,310.0,320.0,8-2020-2021,2020-2021,1-2020-2021
11,Villar Álvarez Pablo,Colocador/a,180.0,2002,310.0,320.0,9-2020-2021,2020-2021,1-2020-2021
12,Ofoha Uchenna,Middle-blocker,201.0,1994,346.0,357.0,10-2020-2021,2020-2021,1-2020-2021
13,Mena Romero Pau,Opuesto,197.0,2001,332.0,338.0,11-2020-2021,2020-2021,1-2020-2021
14,Folgueira Fernández Iago,Middle-blocker,195.0,1994,310.0,316.0,12-2020-2021,2020-2021,1-2020-2021
15,Villar Álvarez Raúl,Receptor,183.0,2004,300.0,310.0,13-2020-2021,2020-2021,1-2020-2021
17,Giménez Hernández José María,Receptor,188.0,1995,320.0,340.0,14-2020-2021,2020-2021,1-2020-2021
19,Cela González Marcos,Colocador/a,183.0,2004,300.0,310.0,15-2020-2021,2020-2021,1-2020-2021
1,Hoffman Da Cunda Mattheus Alejandro,Middle-blocker,208.0,1991,0.0,355.0,16-2020-2021,2020-2021,2-2020-2021
2,Belda de Vial Luke,Receptor,195.0,2003,0.0,332.0,17-2020-2021,2020-2021,2-2020-2021
3,Morato Noguer Ferrán,Receptor,194.0,1993,0.0,342.0,18-2020-2021,2020-2021,2-2020-2021
4,Gimeno Rubio Álvaro,Receptor,205.0,1999,0.0,350.0,19-2020-2021,2020-2021,2-2020-2021
5,Busquets Juli,Opuesto,191.0,2001,0.0,332.0,20-2020-2021,2020-2021,2-2020-2021
5,Jukoski Da Silva Pedro H.,Colocador/a,0.0,1995,0.0,0.0,21-2020-2021,2020-2021,2-2020-2021
6,Sanchis Ignasi,Colocador/a,182.0,2002,0.0,305.0,22-2020-2021,2020-2021,2-2020-2021
7,Guerra Uteau SImón,Middle-blocker,202.0,1996,0.0,335.0,23-2020-2021,2020-2021,2-2020-2021
8,Galindo Sánchez Ángel,Receptor,193.0,1987,0.0,325.0,24-2020-2021,2020-2021,2-2020-2021
9,Madaloz Madaloz Lucas,Receptor,199.0,1995,0.0,352.0,25-2020-2021,2020-2021,2-2020-2021
10,Arranz Boyero Sergi,Colocador/a,190.0,1990,0.0,328.0,26-2020-2021,2020-2021,2-2020-2021
11,Da Silva Fazanha Caio Fernando,Opuesto,204.0,1992,0.0,365.0,27-2020-2021,2020-2021,2-2020-2021
12,Lacalle Herrera Oriol,Líbero,178.0,1995,0.0,302.0,28-2020-2021,2020-2021,2-2020-2021
14,Crespo Pons David,Receptor,191.0,1998,0.0,325.0,29-2020-2021,2020-2021,2-2020-2021
15,Masia Porres Arnau,Líbero,183.0,2002,0.0,315.0,30-2020-2021,2020-2021,2-2020-2021
17,Campos Canals Miquel,Middle-blocker,198.0,2001,0.0,328.0,31-2020-2021,2020-2021,2-2020-2021
18,Domenech Tous Joan,Middle-blocker,205.0,2001,0.0,335.0,32-2020-2021,2020-2021,2-2020-2021
19,Jaray Español Eloy,Colocador/a,195.0,2002,0.0,325.0,33-2020-2021,2020-2021,2-2020-2021
21,Dalakouras Anestis,Receptor,0.0,1993,0.0,0.0,34-2020-2021,2020-2021,2-2020-2021
2,Parres Morales Manuel,Middle-blocker,200.0,1984,0.0,0.0,35-2020-2021,2020-2021,3-2020-2021
3,Rodríguez Pérez Víctor,Receptor,201.0,0,0.0,0.0,36-2020-2021,2020-2021,3-2020-2021
7,Ramón Ferragut Jordi,Receptor,194.0,0,0.0,0.0,37-2020-2021,2020-2021,3-2020-2021
8,Martín Pérez César,Colocador/a,187.0,1995,0.0,0.0,38-2020-2021,2020-2021,3-2020-2021
9,Bugallo Sánchez Pablo,Middle-blocker,197.0,1991,0.0,0.0,39-2020-2021,2020-2021,3-2020-2021
11,Jovanovic Milan,Colocador/a,195.0,1996,0.0,0.0,40-2020-2021,2020-2021,3-2020-2021
15,Naaber Mart,Middle-blocker,212.0,1992,0.0,0.0,41-2020-2021,2020-2021,3-2020-2021
17,Igual Rabanete Javier,Receptor,182.0,2002,0.0,0.0,42-2020-2021,2020-2021,3-2020-2021
18,Gámiz Padilla Aaron,Líbero,182.0,1988,0.0,0.0,43-2020-2021,2020-2021,3-2020-2021
19,Gavenda Filip,Opuesto,202.0,1996,0.0,0.0,44-2020-2021,2020-2021,3-2020-2021
20,Vildosola Mariano,Receptor,190.0,1991,0.0,0.0,45-2020-2021,2020-2021,3-2020-2021
21,Ereu Thomas,Receptor,192.0,1979,0.0,0.0,46-2020-2021,2020-2021,3-2020-2021
1,Vanole Nogueira Silva Thiago,Receptor,190.0,1994,0.0,0.0,47-2020-2021,2020-2021,4-2020-2021
2,Chourio González Anderson José,Opuesto,198.0,1986,0.0,0.0,48-2020-2021,2020-2021,4-2020-2021
4,Cabrer Gomila Joan Francsesc,Receptor,190.0,1994,0.0,0.0,49-2020-2021,2020-2021,4-2020-2021
5,Lorente Camacho Rubén,Colocador/a,187.0,1998,0.0,0.0,50-2020-2021,2020-2021,4-2020-2021
6,Piris Guiscafré Antoni,Líbero,180.0,2001,0.0,0.0,51-2020-2021,2020-2021,4-2020-2021
7,Filter Albrecht Caetano,Receptor,190.0,1995,0.0,0.0,52-2020-2021,2020-2021,4-2020-2021
8,Gallego Sánchez Miguel,Colocador/a,186.0,1982,0.0,0.0,53-2020-2021,2020-2021,4-2020-2021
9,López Alacio David,Middle-blocker,198.0,2000,0.0,0.0,54-2020-2021,2020-2021,4-2020-2021
10,Rodríguez Dosal Ángel,Opuesto,200.0,1995,0.0,0.0,55-2020-2021,2020-2021,4-2020-2021
11,Catala Garcies Andreu,Middle-blocker,190.0,1995,0.0,0.0,56-2020-2021,2020-2021,4-2020-2021
14,Guimaraes Martins Rafael,Middle-blocker,205.0,1991,0.0,0.0,57-2020-2021,2020-2021,4-2020-2021
15,Mesquida Pomar Francesc,Receptor,194.0,1994,0.0,0.0,58-2020-2021,2020-2021,4-2020-2021
18,Gibanel Galmés Sebastiá,Líbero,183.0,2000,0.0,0.0,59-2020-2021,2020-2021,4-2020-2021
1,Fernández Rojas Alejandro,Líbero,183.0,1987,300.0,320.0,60-2020-2021,2020-2021,5-2020-2021
2,Hage Guillerme,Receptor,202.0,1988,340.0,350.0,61-2020-2021,2020-2021,5-2020-2021
3,De Carvalho Furtado Carlos Manuel,Middle-blocker,202.0,1995,345.0,360.0,62-2020-2021,2020-2021,5-2020-2021
5,Dos Santos Cezar Moises,Middle-blocker,207.0,1983,342.0,353.0,63-2020-2021,2020-2021,5-2020-2021
7,Sánchez Carreres Javier,Colocador/a,192.0,1996,335.0,345.0,64-2020-2021,2020-2021,5-2020-2021
8,Bertassoni Paulo Renan,Colocador/a,186.0,1985,325.0,340.0,65-2020-2021,2020-2021,5-2020-2021
10,Almansa Jorge,Receptor,195.0,1991,330.0,346.0,66-2020-2021,2020-2021,5-2020-2021
11,Biliato Luca,Opuesto,179.0,1993,321.0,340.0,67-2020-2021,2020-2021,5-2020-2021
12,Artiles Sosa Ruiman,Receptor,194.0,1987,330.0,340.0,68-2020-2021,2020-2021,5-2020-2021
13,Knigge Matthew,Middle-blocker,203.0,1996,340.0,358.0,69-2020-2021,2020-2021,5-2020-2021
15,Nassini Hidalgo Stefano,Middle-blocker,193.0,1987,330.0,340.0,70-2020-2021,2020-2021,5-2020-2021
16,Kukartsev Pavel,Opuesto,204.0,1992,340.0,347.0,71-2020-2021,2020-2021,5-2020-2021
17,Delgado Gustavo,Receptor,193.0,1986,330.0,345.0,72-2020-2021,2020-2021,5-2020-2021
1,Mohamed Mohamed Faisal,Receptor,184.0,1994,235.0,280.0,73-2020-2021,2020-2021,6-2020-2021
2,El Founti Najim,Líbero,182.0,1998,0.0,0.0,74-2020-2021,2020-2021,6-2020-2021
3,López López César,Receptor,184.0,1993,0.0,0.0,75-2020-2021,2020-2021,6-2020-2021
4,López Sabio Alejandro,Colocador/a,184.0,2001,0.0,0.0,76-2020-2021,2020-2021,6-2020-2021
5,Azmi Mohamed Ilias,Opuesto,179.0,2000,0.0,0.0,77-2020-2021,2020-2021,6-2020-2021
6,Mesaudi Hamed Soufian,Receptor,182.0,2003,0.0,0.0,78-2020-2021,2020-2021,6-2020-2021
7,Tahiri El Aissati Mikael,Opuesto,178.0,1997,0.0,0.0,79-2020-2021,2020-2021,6-2020-2021
