Posición,Equipo,PJ,G,P,PTS,id_equipo,temporada
1,CV Melilla,22,18,4,54,8-2021-2022,2022-2023
2,Unicaja Almería,22,18,4,53,12-2021-2022,2022-2023
3,Guaguas,22,16,6,48,4-2021-2022,2022-2023
4,Rio Duero Soria,22,15,7,42,9-2021-2022,2022-2023
5,Voley Palma,22,13,9,37,5-2021-2022,2022-2023
6,CV Teruel,22,12,10,37,2-2021-2022,2022-2023
7,Rotogal Boiro,22,10,12,35,10-2021-2022,2022-2023
8,Manacor,22,11,11,33,3-2021-2022,2022-2023
9,Conqueridor Valencia,22,7,15,19,7-2021-2022,2022-2023
10,Arenal Emevé,22,6,16,18,1-2021-2022,2022-2023
11,Intasa,22,3,19,11,6-2021-2022,2022-2023
12,Ibiza Voley,22,3,19,9,11-2021-2022,2022-2023
