Nombre,Partidos_jugados,Sets_jugados,Acciones_exitosas,Errores_colocador,_error_colocador,Puntos_negativos,Puntos_positivos,Acciones_positivas,Total_acumulado,Efic_Ranking,id_jugador,id_equipo,temporada
Riganti Juan Martin,28,105,615,2,77,106,180,62,1042,0.429,111-2021-2022,8-2021-2022,2021-2022
Ramirez Chueca Sergio,22,79,480,2,65,121,92,62,822,0.3613,37-2021-2022,3-2021-2022,2021-2022
Folguera Xavier,21,77,456,14,59,115,87,59,790,0.357,123-2021-2022,9-2021-2022,2021-2022
Sanchez Ignacio,25,95,625,2,101,131,234,82,1175,0.3506,64-2021-2022,5-2021-2022,2021-2022
Jukoski Da Silva Pedro H.,19,71,450,4,49,119,111,55,788,0.3503,15-2021-2022,2-2021-2022,2021-2022
Bertassoni Paulo Renan,22,79,460,3,41,125,97,61,787,0.3482,45-2021-2022,4-2021-2022,2021-2022
Bitar Gaspar,23,92,592,4,81,161,114,76,1028,0.3453,136-2021-2022,10-2021-2022,2021-2022
Portero Losilla Andres Francisco,19,32,106,0,10,34,25,11,186,0.328,166-2021-2022,12-2021-2022,2021-2022
Jovanovic Igor,23,81,395,0,43,153,94,31,716,0.2947,174-2021-2022,12-2021-2022,2021-2022
Monfort Minaya Vicente,17,62,312,1,50,103,66,52,584,0.2688,91-2021-2022,7-2021-2022,2021-2022
Martin Perez Cesar,10,31,69,0,10,28,10,8,125,0.264,46-2021-2022,4-2021-2022,2021-2022
Jovanovic Milan,19,63,101,0,16,39,38,9,203,0.2611,18-2021-2022,2-2021-2022,2021-2022
Gallego Sanchez Miguel,13,25,83,0,17,32,10,14,156,0.2372,33-2021-2022,3-2021-2022,2021-2022
Keegan Vicoy Michael Daniel,20,71,386,1,70,154,110,56,777,0.2265,68-2021-2022,6-2021-2022,2021-2022
Loeches Buitrago Guillermo,20,77,471,0,82,171,108,91,923,0.2264,4-2021-2022,1-2021-2022,2021-2022
Sanchez Carreres Javier,20,68,382,0,66,154,105,68,775,0.2065,157-2021-2022,11-2021-2022,2021-2022
Villar Alvarez Pablo,4,6,13,0,4,2,12,4,35,0.2,8-2021-2022,1-2021-2022,2021-2022
Osado Carrasco Jose,1,3,10,0,1,13,2,4,30,-0.2333,152-2021-2022,11-2021-2022,2021-2022
