Posicion,Equipo,PJ,G,P,PTS,id_equipo,temporada
1,Guaguas,22,22,0,66,0,2022-2023
2,Rio Duero Soria,22,18,4,53,0,2022-2023
3,CV Teruel,22,16,6,48,0,2022-2023
4,CV Melilla,22,15,7,45,0,2022-2023
5,Conqueridor Valencia,22,14,8,41,0,2022-2023
6,Unicaja Almeria,22,12,10,36,0,2022-2023
7,Barca Voleibol,22,10,12,30,0,2022-2023
8,Arenal Emeve,22,9,13,28,0,2022-2023
9,Manacor,22,9,13,26,0,2022-2023
10,Voley Palma,22,5,17,16,0,2022-2023
11,Voley Textil Santanderina,22,1,21,5,0,2022-2023
12,Rotogal Boiro,22,1,21,2,0,2022-2023
