Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
1,Ferreira García Gabriel,Colocador/a,188.0,1997,310.0,300.0,1-2022-2023,2022-2023,1-2022-2023
2,Alves Ramos Vitor,Receptor,194.0,2002,330.0,322.0,2-2022-2023,2022-2023,1-2022-2023
3,Bouza Ferreiro Víctor,Receptor,187.0,1990,330.0,320.0,3-2022-2023,2022-2023,1-2022-2023
4,Romaní Leandro Gustavo,Middle-blocker,205.0,1999,337.0,323.0,4-2022-2023,2022-2023,1-2022-2023
7,Gallardo Hernández Rodrigo,Líbero,183.0,1999,295.0,268.0,5-2022-2023,2022-2023,1-2022-2023
8,Mariño González Anier,Middle-blocker,184.0,2005,310.0,300.0,6-2022-2023,2022-2023,1-2022-2023
9,Barrasa Portomeñe Samuel,Líbero,179.0,2007,290.0,270.0,7-2022-2023,2022-2023,1-2022-2023
10,Anane Osamudiamen Jorge,Middle-blocker,194.0,2001,330.0,320.0,8-2022-2023,2022-2023,1-2022-2023
11,Villar Álvarez Pablo,Colocador/a,186.0,2002,320.0,310.0,9-2022-2023,2022-2023,1-2022-2023
12,Rodríguez Rubio Aurelio,Middle-blocker,193.0,2000,308.0,300.0,10-2022-2023,2022-2023,1-2022-2023
13,Mena Romero Pau,Opuesto,197.0,2001,338.0,330.0,11-2022-2023,2022-2023,1-2022-2023
14,Linares José Luis,Opuesto,182.0,1998,335.0,320.0,12-2022-2023,2022-2023,1-2022-2023
15,García Ordoñez Carlos,Receptor,175.0,2003,280.0,270.0,13-2022-2023,2022-2023,1-2022-2023
17,Biliato Luca,Receptor,179.0,1993,312.0,310.0,14-2022-2023,2022-2023,1-2022-2023
1,Crespo Fushan Pablo,Middle-blocker,194.0,2006,0.0,0.0,15-2022-2023,2022-2023,2-2022-2023
2,Rojas Cáceres Cristhian,Receptor,193.0,2001,342.0,330.0,16-2022-2023,2022-2023,2-2022-2023
3,Schorlemmer Cuesta Nicolás,Middle-blocker,200.0,2005,335.0,325.0,17-2022-2023,2022-2023,2-2022-2023
4,García Borrás Héctor,Colocador/a,179.0,1998,310.0,300.0,18-2022-2023,2022-2023,2-2022-2023
5,Masia Porres Arnau,Líbero,181.0,2002,315.0,306.0,19-2022-2023,2022-2023,2-2022-2023
6,Ferri Beneito Francisco Javier,Opuesto,188.0,1999,325.0,318.0,20-2022-2023,2022-2023,2-2022-2023
7,Loeches Buitrago Guillermo,Colocador/a,183.0,1996,325.0,312.0,21-2022-2023,2022-2023,2-2022-2023
9,León Yohan,Receptor,201.0,1995,355.0,341.0,22-2022-2023,2022-2023,2-2022-2023
10,Grossi Anderson,Middle-blocker,204.0,1994,350.0,338.0,23-2022-2023,2022-2023,2-2022-2023
12,Fuentes Rascón Mauro Isaac,Receptor,192.0,1997,352.0,340.0,24-2022-2023,2022-2023,2-2022-2023
14,Osorio Recordá Gerard,Opuesto,202.0,1993,347.0,333.0,25-2022-2023,2022-2023,2-2022-2023
16,Valiño Sanz Isaac,Receptor,192.0,1999,335.0,320.0,26-2022-2023,2022-2023,2-2022-2023
18,Carabali Kevin Alexander,Middle-blocker,204.0,1995,360.0,350.0,27-2022-2023,2022-2023,2-2022-2023
19,Cid Cadenas Mario,Receptor,195.0,2003,345.0,328.0,28-2022-2023,2022-2023,2-2022-2023
30,Marín Nieda Juan Francisco,Opuesto,193.0,2002,345.0,332.0,29-2022-2023,2022-2023,2-2022-2023
0,Fernández Martínez Francisco José,Receptor,0.0,1995,0.0,0.0,30-2022-2023,2022-2023,3-2022-2023
0,Moreno Mañas Antonio,0,0.0,1987,0.0,0.0,31-2022-2023,2022-2023,3-2022-2023
1,Reboredo Coronado Miguel,Receptor,185.0,2001,0.0,0.0,32-2022-2023,2022-2023,3-2022-2023
2,Garcías Millas Joan Miquel,Líbero,180.0,2002,0.0,0.0,33-2022-2023,2022-2023,3-2022-2023
3,Gallego Sánchez Miguel,Colocador/a,0.0,1982,0.0,0.0,34-2022-2023,2022-2023,3-2022-2023
5,Sánchez Coll Javier,Colocador/a,190.0,2001,0.0,0.0,35-2022-2023,2022-2023,3-2022-2023
6,Bernal Bravo Abel,Middle-blocker,198.0,1981,0.0,0.0,36-2022-2023,2022-2023,3-2022-2023
7,De la Rosa Cañellas Antonio,Opuesto,196.0,2002,0.0,0.0,37-2022-2023,2022-2023,3-2022-2023
8,Osado Carrasco José,Líbero,175.0,1997,0.0,0.0,38-2022-2023,2022-2023,3-2022-2023
9,Riera Granada Adrián,Líbero,180.0,2002,0.0,0.0,39-2022-2023,2022-2023,3-2022-2023
10,Amador Romaguera Sergio,Receptor,190.0,2004,0.0,0.0,40-2022-2023,2022-2023,3-2022-2023
11,Cairus Renzo,Receptor,190.0,1990,0.0,0.0,41-2022-2023,2022-2023,3-2022-2023
12,Palacios Santos Cristian,Middle-blocker,0.0,1993,0.0,0.0,42-2022-2023,2022-2023,3-2022-2023
13,Arranz Boyero Sergi,Colocador/a,187.0,1990,0.0,0.0,43-2022-2023,2022-2023,3-2022-2023
14,Liot Tom,Colocador/a,0.0,1998,0.0,0.0,44-2022-2023,2022-2023,3-2022-2023
