fecha,hora,equipo_local,resultado,equipo_visitante,id_equipo_local,id_equipo_visitante,id_jornada,id
2023-10-07,18:30:00,Unicaja Costa de Almería ,3-1,UPV Leleman Conqueridor,10,11,1,1
2023-10-07,19:00:00,Club Vóley Palma ,2-3,Pamesa Teruel Voleibol,3,9,1,2
2023-10-07,19:00:00,Volei Villena Petrer ,0-3,CV Melilla,12,6,1,3
2023-10-08,12:00:00,CV San Roque ,0-3,CV Guaguas,7,5,1,4
2023-10-07,19:00:00,Cisneros Alter Tenerife ,3-0,Arenal Emevé,2,1,1,5
2023-10-07,19:30:00,Grupo Herce Soria ,3-0,Conectabalear CV Manacor,8,4,1,6
2023-10-14,18:00:00,Conectabalear CV Manacor ,0-3,Unicaja Costa de Almería,4,10,2,7
2023-10-14,17:30:00,Arenal Emevé ,1-3,Grupo Herce Soria,1,8,2,8
2023-10-14,12:00:00,CV Guaguas ,3-2,Cisneros Alter Tenerife,5,2,2,9
2023-10-15,17:00:00,CV Melilla ,3-0,CV San Roque,6,7,2,10
2023-10-14,18:30:00,Pamesa Teruel Voleibol ,3-0,Volei Villena Petrer,9,12,2,11
2023-10-14,19:00:00,UPV Leleman Conqueridor ,3-1,Club Vóley Palma,11,3,2,12
2023-10-18,18:30:00,Unicaja Costa de Almería ,3-0,Club Vóley Palma,10,3,3,13
2023-10-18,19:30:00,Volei Villena Petrer ,1-3,UPV Leleman Conqueridor,12,11,3,14
2023-10-18,20:00:00,CV San Roque ,2-3,Pamesa Teruel Voleibol,7,9,3,15
2023-10-18,19:00:00,Cisneros Alter Tenerife ,2-3,CV Melilla,2,6,3,16
2023-10-18,19:30:00,Grupo Herce Soria ,3-1,CV Guaguas,8,5,3,17
2023-10-18,19:00:00,Conectabalear CV Manacor ,3-0,Arenal Emevé,4,1,3,18
2023-10-21,19:45:00,Arenal Emevé ,0-3,Unicaja Costa de Almería,1,10,4,19
2023-10-21,18:30:00,CV Guaguas ,3-0,Conectabalear CV Manacor,5,4,4,20
2023-10-22,17:00:00,CV Melilla ,0-3,Grupo Herce Soria,6,8,4,21
2023-10-21,18:30:00,Pamesa Teruel Voleibol ,3-0,Cisneros Alter Tenerife,9,2,4,22
2023-10-21,19:00:00,UPV Leleman Conqueridor ,2-3,CV San Roque,11,7,4,23
2023-10-21,19:00:00,Club Vóley Palma ,3-0,Volei Villena Petrer,3,12,4,24
2023-10-28,18:30:00,Unicaja Costa de Almería ,3-0,Volei Villena Petrer,10,12,5,25
2023-10-29,12:00:00,CV San Roque ,3-2,Club Vóley Palma,7,3,5,26
2023-10-28,19:00:00,Cisneros Alter Tenerife ,3-0,UPV Leleman Conqueridor,2,11,5,27
2023-10-28,19:30:00,Grupo Herce Soria ,3-0,Pamesa Teruel Voleibol,8,9,5,28
2023-10-28,18:00:00,Conectabalear CV Manacor ,0-3,CV Melilla,4,6,5,29
2023-10-28,17:00:00,Arenal Emevé ,0-3,CV Guaguas,1,5,5,30
2023-11-04,18:30:00,CV Guaguas ,3-1,Unicaja Costa de Almería,5,10,6,31
2023-11-05,17:00:00,CV Melilla ,3-1,Arenal Emevé,6,1,6,32
2023-11-04,18:30:00,Pamesa Teruel Voleibol ,3-2,Conectabalear CV Manacor,9,4,6,33
2023-11-04,18:30:00,UPV Leleman Conqueridor ,3-2,Grupo Herce Soria,11,8,6,34
2023-11-04,19:00:00,Club Vóley Palma ,1-3,Cisneros Alter Tenerife,3,2,6,35
2023-11-05,11:30:00,Volei Villena Petrer ,2-3,CV San Roque,12,7,6,36
2023-11-11,18:30:00,Unicaja Costa de Almería ,3-0,CV San Roque,10,7,7,37
2023-11-11,19:00:00,Cisneros Alter Tenerife ,3-1,Volei Villena Petrer,2,12,7,38
2023-11-11,19:30:00,Grupo Herce Soria ,3-2,Club Vóley Palma,8,3,7,39
2023-11-11,18:00:00,Conectabalear CV Manacor ,3-1,UPV Leleman Conqueridor,4,11,7,40
2023-11-11,19:45:00,Arenal Emevé ,3-1,Pamesa Teruel Voleibol,1,9,7,41
2023-11-15,19:00:00,CV Guaguas ,3-1,CV Melilla,5,6,7,42
2023-11-19,17:00:00,CV Melilla ,0-3,Unicaja Costa de Almería,6,10,8,43
2023-11-18,18:30:00,Pamesa Teruel Voleibol ,0-3,CV Guaguas,9,5,8,44
2023-11-18,18:30:00,UPV Leleman Conqueridor ,2-3,Arenal Emevé,11,1,8,45
2023-11-18,19:00:00,Club Vóley Palma ,1-3,Conectabalear CV Manacor,3,4,8,46
2023-11-18,19:00:00,Volei Villena Petrer ,1-3,Grupo Herce Soria,12,8,8,47
2023-11-19,12:00:00,CV San Roque ,2-3,Cisneros Alter Tenerife,7,2,8,48
2023-11-25,18:30:00,Unicaja Costa de Almería ,3-0,Cisneros Alter Tenerife,10,2,9,49
2023-11-25,19:30:00,Grupo Herce Soria ,3-1,CV San Roque,8,7,9,50
2023-11-25,18:00:00,Conectabalear CV Manacor ,3-0,Volei Villena Petrer,4,12,9,51
2023-11-25,17:00:00,Arenal Emevé ,1-3,Club Vóley Palma,1,3,9,52
2023-11-25,18:30:00,CV Guaguas ,3-0,UPV Leleman Conqueridor,5,11,9,53
2023-11-25,19:30:00,CV Melilla ,3-0,Pamesa Teruel Voleibol,6,9,9,54
2023-12-02,18:30:00,Unicaja Costa de Almería ,0-0,Pamesa Teruel Voleibol,10,9,10,55
2023-12-02,18:30:00,UPV Leleman Conqueridor ,0-0,CV Melilla,11,6,10,56
2023-12-02,19:00:00,Club Vóley Palma ,0-0,CV Guaguas,3,5,10,57
