Dorsal,Nombre,Posición,Altura,Año_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_equipo,id_jugador,temporada
2,Paradela Cortón Miguel,Líbero,0,2004,0,0,1,1,2023-2024
3,Bouza Ferreiro Víctor,Receptor,0,1990,0,0,1,2,2023-2024
4,Linares José Luis,Opuesto,0,1998,0,0,1,3,2023-2024
5,Barrasa Portomeñe Samuel,Líbero,0,2007,0,0,1,4,2023-2024
6,Edward Batalla Dexter,Colocador/a,0,2000,0,0,1,5,2023-2024
9,Schulz Max,Receptor,0,2002,0,0,1,6,2023-2024
10,Biliato Luca,Opuesto,0,1993,0,0,1,7,2023-2024
11,Villar Álvarez Pablo,Colocador/a,0,2002,0,0,1,8,2023-2024
12,Rodríguez Rubio Aurelio,Middle-blocker,0,2000,0,0,1,9,2023-2024
13,Frías Collado Juan Francisco,Middle-blocker,0,2000,0,0,1,10,2023-2024
14,Augustinho De Lara Sopschuk Luis Henrique,Middle-blocker,0,2002,0,0,1,11,2023-2024
17,Ossola Gude Nahuel,Receptor,0,2002,0,0,1,12,2023-2024
1,Rodríguez Herrera Francisco J.,Receptor,188,1980,0,0,2,13,2023-2024
2,Conde Barrios Lucas,Receptor,196,2004,0,0,2,14,2023-2024
3,Oliva Alonso Adrián,Middle-blocker,204,1998,0,0,2,15,2023-2024
7,Dovale Fidalgo Mario,Líbero,188,0,0,0,2,16,2023-2024
8,Rodríguez Álvarez Óscar,Receptor,188,2002,0,0,2,17,2023-2024
9,Duque Grijalvo Francisco,Middle-blocker,200,1999,0,0,2,18,2023-2024
10,Álvarez Escudero Eduardo,Opuesto,200,1998,0,0,2,19,2023-2024
11,Cabello Diedhou Ahmed,Middle-blocker,197,2000,0,0,2,20,2023-2024
13,Macarro Tortajada Daniel,Middle-blocker,200,1993,0,0,2,21,2023-2024
14,Machuca Wehbe BRuno,Colocador/a,180,2006,0,0,2,22,2023-2024
15,Roberts Ignacio,Colocador/a,182,1997,0,0,2,23,2023-2024
18,Fernández Coviello Adrián,-,194,1989,0,0,2,24,2023-2024
19,Nogueira Amorim Víctor Lucas,Opuesto,201,1997,0,0,2,25,2023-2024
22,Del Carmen Barbara Gabriel,Receptor,188,1994,0,0,2,26,2023-2024
99,Costa Erick G.,Receptor,206,1997,0,0,2,27,2023-2024
1,Seybering David,Middle-blocker,204,1995,0,0,3,28,2023-2024
2,Garcías Millas Joan Miquel,Líbero,180,2002,0,0,3,29,2023-2024
4,Sánchez Coll Javier,Colocador/a,190,2001,0,0,3,30,2023-2024
5,Riera Granada Adrián,Receptor,180,2002,0,0,3,31,2023-2024
6,Bernal Bravo Abel,Middle-blocker,198,1981,0,0,3,32,2023-2024
7,De la Rosa Cañellas Antonio,Opuesto,196,2002,0,0,3,33,2023-2024
8,Osado Carrasco José,Líbero,175,1997,0,0,3,34,2023-2024
9,Rodríguez Dosal Ángel,Opuesto,198,1995,0,0,3,35,2023-2024
10,Giménez Hernández José María,Receptor,185,1995,0,0,3,36,2023-2024
11,Cairus Renzo,Receptor,190,1990,0,0,3,37,2023-2024
13,Moreno Mañas Antonio,Receptor,198,1987,0,0,3,38,2023-2024
15,Arjones Ferreiros Jaime,Colocador/a,184,2003,0,0,3,39,2023-2024
18,Scarpin Maximiliano,Middle-blocker,197,1990,0,0,3,40,2023-2024
0,Llopart Alejandro,-,0,1998,0,0,4,41,2023-2024
1,Alves Ramos Vitor,Receptor,0,2002,0,0,4,42,2023-2024
2,Chourio González Anderson José,Opuesto,0,1986,0,0,4,43,2023-2024
4,Liu Coltyn Go Yuen,Receptor,0,1999,0,0,4,44,2023-2024
6,Piris Guiscafré Antoni,Líbero,0,2001,0,0,4,45,2023-2024
7,Miranda de Alcantara Víctor Hugo,Opuesto,0,1998,0,0,4,46,2023-2024
