Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador
Romaní Leandro Gustavo,8,26,17,5,1,25,11,14,5,89,71,15,7,131,2.1923,48
Da Cruz Neto Walter,5,19,15,3,0,18,0,7,2,68,38,1,8,67,1.7895,154
Macarro Tortajada Daniel,9,35,20,9,0,41,6,21,4,137,77,9,5,121,1.6857,21
Méndez Jiménez Víctor,9,34,30,18,0,62,0,10,4,123,63,6,7,119,1.5294,117
Dos Santos Cezar Moises,9,38,31,24,0,66,1,15,2,85,77,10,9,132,1.3421,86
Seybering David,8,34,13,20,0,50,8,15,3,106,71,5,7,119,1.3235,28
Flores Fabian Emanuel,9,35,26,39,0,116,1,9,2,110,75,5,6,108,1.2286,98
Saxton Vigrass Graham,3,7,4,2,0,14,0,2,1,19,12,3,1,21,1.1429,56
Ruiz Mira Borja,9,29,8,25,0,56,6,22,8,107,66,5,5,102,0.7931,139
Téllez Rodríguez Axel,6,18,12,19,1,44,2,14,1,61,31,8,3,54,0.0,120
Allen Serrano Luis Vidal,9,23,8,28,0,49,1,8,0,52,38,5,9,73,-0.1304,144
