Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo
Rio Duero Soria,9,35,608,226,382,311,821,37,129,1.1,-11.0,630,44,142,177,28.0,21.0,997,63,61,480,48.0,36.0,157,91,2.6,8
Voley Palma,9,37,576,206,370,230,790,41,112,1.1,-9.0,720,47,139,210,29.0,23.0,1053,103,84,464,44.0,26.0,88,71,1.9,3
San Roque - Batán,9,38,572,190,382,201,803,34,144,0.9,-14.0,723,63,190,244,34.0,25.0,965,90,74,458,47.0,30.0,77,80,2.1,7
Conqueridor Valencia,9,37,568,210,358,229,789,53,109,1.4,-7.0,690,55,189,145,21.0,13.0,1011,96,79,453,45.0,27.0,155,62,1.7,11
Cisneros Alter,9,35,547,170,377,226,777,32,143,0.9,-14.0,641,26,163,230,36.0,32.0,893,86,66,446,50.0,33.0,28,69,2.0,2
Arenal Emevé,9,33,514,155,359,161,680,26,126,0.8,-15.0,693,43,182,230,33.0,27.0,935,99,85,419,45.0,25.0,55,69,2.1,1
Guaguas,9,32,511,221,290,248,745,53,112,1.7,-8.0,506,37,120,184,36.0,29.0,765,59,55,379,50.0,35.0,81,79,2.5,5
Unicaja Almería,9,29,511,211,300,279,699,56,112,1.9,-8.0,466,29,116,146,31.0,25.0,692,41,50,392,57.0,43.0,106,63,2.2,10
CV Teruel,9,34,510,170,340,202,734,20,122,0.6,-14.0,635,28,170,176,28.0,23.0,892,81,77,398,45.0,27.0,107,92,2.7,9
CV Melilla,9,31,510,183,327,232,730,42,119,1.4,-11.0,583,37,138,252,43.0,37.0,847,54,68,406,48.0,34.0,80,62,2.0,6
Manacor,9,31,496,180,316,227,687,51,94,1.6,-6.0,573,45,145,205,36.0,28.0,791,64,66,377,48.0,31.0,65,68,2.2,4
Santo Domingo VB Petrer,9,32,451,130,321,139,686,20,119,0.6,-14.0,639,34,140,237,37.0,32.0,900,72,87,385,43.0,25.0,52,46,1.4,12
