Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,temporada
Santos Cunha Bruno,9,35,12,24,10,146,12,23,0,56,170,23,25,369,2.8286,106,2023-2024
Neaves Matthew Michael,9,29,9,24,6,95,9,16,0,39,132,16,15,228,2.7241,135,2023-2024
Dahl Ulrik Bo,9,38,20,35,17,153,14,13,0,33,181,36,31,394,2.6316,92,2023-2024
Rodríguez Dosal Ángel,9,37,14,26,10,140,15,12,0,36,183,47,33,393,2.5405,35,2023-2024
Linares José Luis,9,33,12,26,7,108,7,6,0,20,158,32,30,328,2.5152,3,2023-2024
Martina Federico,9,29,3,2,2,61,4,7,0,18,86,5,9,168,2.4138,81,2023-2024
Nogueira Amorim Víctor Lucas,7,27,6,15,3,79,9,1,0,12,105,27,14,205,2.3333,25,2023-2024
Martínez Palacios Miguel Ángel,9,33,1,18,5,109,19,14,1,46,128,34,21,287,1.8182,118,2023-2024
Pereyra Hernán Federico,4,13,2,7,5,35,7,6,0,17,44,6,13,89,1.6154,78,2023-2024
Bezerra Souza Francisco Wallyson,8,25,10,20,4,80,6,11,0,23,68,7,15,150,1.24,58,2023-2024
Dangel Mulen Armando,9,36,11,15,5,93,6,23,0,48,103,28,24,251,0.8333,149,2023-2024
Osorio Recordá Gerard,9,32,3,37,5,90,8,5,0,20,112,20,35,267,0.8125,163,2023-2024
Moreno Mosquera Juan Pablo,4,13,2,10,3,38,1,8,0,16,36,8,9,70,0.3077,62,2023-2024
Miranda de Alcantara Víctor Hugo,9,26,1,12,3,75,11,9,0,32,33,11,8,83,0.1923,46,2023-2024
Chourio González Anderson José,1,3,0,0,0,4,0,0,0,4,2,2,3,9,-1.0,43,2023-2024
