Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador
Conde Barrios Lucas,9,35,7,4,0,13,5,31,8,118,125,14,18,245,2.0,14
Calvo Leandro Omar,9,31,9,8,1,22,8,13,2,90,98,16,16,225,1.9677,47
Zonca Paolo,9,32,13,5,0,30,21,25,10,143,79,12,9,172,1.9375,64
Rodríguez Pérez Víctor,9,29,21,16,0,52,11,23,8,122,79,11,11,159,1.7241,130
Schulz Max,9,33,14,3,0,24,9,36,6,107,122,26,24,260,1.697,6
Liu Coltyn Go Yuen,9,30,4,11,0,18,11,29,7,118,94,10,17,186,1.4,44
Bruno López Nicolás,9,30,2,11,0,26,9,20,7,119,79,11,11,161,1.2333,54
Giustiniano Mariano Ariel,9,30,3,7,0,17,10,23,4,123,74,10,11,159,1.2,79
Vanole Nogueira Silva Thiago,8,25,8,8,0,23,10,18,5,80,55,8,12,116,1.08,68
Nieves Suárez Carlos,8,28,1,10,0,16,8,9,1,70,57,8,10,114,1.0357,140
Villalba Zamorano José,9,35,15,17,1,44,10,34,9,154,77,9,8,180,0.9429,101
Funes Facundo Jesús,9,34,7,9,0,31,5,9,2,88,54,7,13,116,0.8235,142
Monfort Minaya Javier,9,33,5,21,0,46,10,23,3,118,100,28,16,246,0.8182,143
Ferrández Moles Emilio,9,29,9,10,1,29,2,15,5,88,65,14,15,153,0.7241,119
Cairus Renzo,9,37,8,9,0,24,4,17,8,122,83,28,16,222,0.6757,37
Hernández Robeff Tomás Agustín,9,30,2,7,0,18,3,16,2,121,76,23,15,195,0.6667,166
Ruiz Garrido Francisco José,9,29,7,15,0,34,13,17,6,119,47,7,11,98,0.5862,136
Zelayeta Mauro Rafael,6,21,5,3,0,13,8,21,6,67,37,7,8,84,0.5238,121
Giménez Hernández José María,9,37,4,14,0,23,5,17,5,132,73,12,22,185,0.4595,36
Alves Ramos Vitor,5,8,1,2,0,3,2,4,2,23,15,1,8,37,0.375,42
Olalla Gómez Adrián,9,33,5,20,0,33,4,28,5,105,87,19,18,204,0.3333,99
Del Carmen Barbara Gabriel,9,35,6,5,0,11,8,37,6,134,72,19,15,168,0.2857,26
Fernández Rodríguez Francisco,5,15,1,2,0,3,1,13,1,53,37,7,13,94,0.2667,168
Melgarejo Brian Efren,7,18,4,13,0,19,3,14,2,59,41,10,9,117,0.1111,69
Vildosola Mariano,8,29,5,13,2,32,2,13,1,91,39,5,14,119,-0.0345,126
Bouza Ferreiro Víctor,8,29,4,6,0,10,0,18,4,101,53,17,23,164,-0.2414,2
