,Dorsal,Nombre,Posición,Año_de_nacimiento,id_jugador,id_equipo,Edad
0,2,Paradela Cortón Miguel,Líbero,2004,1,1,19
1,3,Bouza Ferreiro Víctor,Receptor,1990,2,1,33
2,4,Linares José Luis,Opuesto,1998,3,1,25
3,5,Barrasa Portomeñe Samuel,Líbero,2007,4,1,16
4,6,Edward Batalla Dexter,Colocador/a,2000,5,1,23
5,9,Schulz Max,Receptor,2002,6,1,21
6,10,Biliato Luca,Opuesto,1993,7,1,30
7,11,Villar Álvarez Pablo,Colocador/a,2002,8,1,21
8,12,Rodríguez Rubio Aurelio,Middle-blocker,2000,9,1,23
9,13,Frías Collado Juan Francisco,Middle-blocker,2000,10,1,23
10,14,Augustinho De Lara Sopschuk Luis Henrique,Middle-blocker,2002,11,1,21
11,17,Ossola Gude Nahuel,Receptor,2002,12,1,21
12,1,Rodríguez Herrera Francisco J.,Receptor,1980,13,2,43
13,2,Conde Barrios Lucas,Receptor,2004,14,2,19
14,3,Oliva Alonso Adrián,Middle-blocker,1998,15,2,25
15,7,Dovale Fidalgo Mario,Líbero,1998,16,2,25
16,8,Rodríguez Álvarez Óscar,Receptor,2002,17,2,21
17,9,Duque Grijalvo Francisco,Middle-blocker,1999,18,2,24
18,10,Álvarez Escudero Eduardo,Opuesto,1998,19,2,25
19,11,Cabello Diedhou Ahmed,Middle-blocker,2000,20,2,23
20,13,Macarro Tortajada Daniel,Middle-blocker,1993,21,2,30
21,14,Machuca Wehbe BRuno,Colocador/a,2006,22,2,17
22,15,Roberts Ignacio,Colocador/a,1997,23,2,26
23,18,Fernández Coviello Adrián,-,1989,24,2,34
24,19,Nogueira Amorim Víctor Lucas,Opuesto,1997,25,2,26
25,22,Del Carmen Barbara Gabriel,Receptor,1994,26,2,29
26,99,Costa Erick G.,Receptor,1997,27,2,26
27,1,Seybering David,Middle-blocker,1995,28,3,28
28,2,Garcías Millas Joan Miquel,Líbero,2002,29,3,21
29,4,Sánchez Coll Javier,Colocador/a,2001,30,3,22
30,5,Riera Granada Adrián,Receptor,2002,31,3,21
31,6,Bernal Bravo Abel,Middle-blocker,1981,32,3,42
32,7,De la Rosa Cañellas Antonio,Opuesto,2002,33,3,21
33,8,Osado Carrasco José,Líbero,1997,34,3,26
34,9,Rodríguez Dosal Ángel,Opuesto,1995,35,3,28
35,10,Giménez Hernández José María,Receptor,1995,36,3,28
36,11,Cairus Renzo,Receptor,1990,37,3,33
37,13,Moreno Mañas Antonio,Receptor,1987,38,3,36
38,15,Arjones Ferreiros Jaime,Colocador/a,2003,39,3,20
39,18,Scarpin Maximiliano,Middle-blocker,1990,40,3,33
40,-,Llopart Alejandro,-,1998,41,4,25
41,1,Alves Ramos Vitor,Receptor,2002,42,4,21
42,2,Chourio González Anderson José,Opuesto,1986,43,4,37
43,4,Liu Coltyn Go Yuen,Receptor,1999,44,4,24
44,6,Piris Guiscafré Antoni,Líbero,2001,45,4,22
45,7,Miranda de Alcantara Víctor Hugo,Opuesto,1998,46,4,25
46,8,Calvo Leandro Omar,Receptor,2000,47,4,23
47,9,Romaní Leandro Gustavo,Middle-blocker,1999,48,4,24
48,10,Ribas Brockert Alejandro,Middle-blocker,2004,49,4,19
49,15,Mesquida Pomar Francesc,Receptor,1994,50,4,29
50,21,Martín Pérez César,Colocador/a,1995,51,4,28
51,77,Gibanel Galmés Sebastiá,Líbero,2000,52,4,23
