Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porcentaje_error,Total_ataques,Ataque_Ranking,id_jugador
Macarro Tortajada Daniel,8,32,19,3,0,33,6,19,4,127,70,8,5,110,"1,8750",21
Romaní Leandro Gustavo,7,23,16,5,1,24,10,12,5,79,55,15,6,106,"1,8261",48
Da Cruz Neto Walter,4,16,14,3,0,17,0,7,2,59,30,0,6,53,"1,7500",154
Méndez Jiménez Víctor,8,31,26,14,0,50,0,8,4,112,60,6,7,106,"1,6452",117
Flores Fabian Emanuel,8,31,21,28,0,90,1,6,1,95,69,5,5,100,"1,5161",98
Dos Santos Cezar Moises,8,34,31,17,0,56,0,15,2,74,65,10,7,116,"1,3824",86
Saxton Vigrass Graham,2,4,2,0,0,2,0,2,0,9,8,2,1,13,"1,2500",56
Seybering David,7,30,10,15,0,42,6,13,3,92,58,4,6,101,"1,2000",28
Amorós Martín Arel,8,20,3,9,0,15,1,6,1,51,36,1,4,63,"1,0000",158
Ruiz Mira Borja,8,26,7,24,0,47,5,19,6,95,60,5,5,90,"0,7308",139
Téllez Rodríguez Axel,5,15,9,17,1,36,1,14,1,54,29,8,2,49,"-0,2000",120
Allen Serrano Luis Vidal,8,20,6,27,0,43,1,6,0,47,33,5,7,62,"-0,2500",144
