Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador
San Martín Rodríguez Alejandro,5,17,28,3,6,0,7,16,60,"0,4167",102
Masia Porres Arnau,8,28,95,17,1,11,25,51,200,"0,3350",71
Almansa Jorge,1,3,8,0,2,1,2,9,22,"0,3182",61
Barrasa Portomeñe Samuel,4,8,17,2,0,1,12,13,45,"0,3111",4
Piqueres Flor Nestor,8,29,86,6,17,16,32,67,224,"0,2857",160
Piris Guiscafré Antoni,8,27,64,11,5,7,30,49,166,"0,2771",45
Dovale Fidalgo Mario,8,32,75,7,7,10,54,71,224,"0,2589",16
Paradela Cortón Miguel,8,24,54,10,7,7,32,38,148,"0,2500",1
Osado Carrasco José,8,32,65,12,13,8,18,72,188,"0,2394",34
Gallardo Hernández Rodrigo,8,33,62,10,14,11,36,41,174,"0,2356",90
Fernández Martínez Francisco José,8,26,47,13,6,2,35,38,141,"0,2270",132
Gámiz Padilla Aharón,8,31,53,6,10,10,29,57,165,"0,2242",125
Larrañaga Ledo Unai,7,26,46,11,4,8,16,44,129,"0,2093",60
Mengod Bautista Javier,8,30,39,13,31,9,41,51,184,"0,0924",152
Aulisi Santiago Karim,3,14,15,9,15,3,8,19,69,"0,0435",105
Iborra Ballester Héctor,3,10,3,6,9,2,8,9,37,"-0,1351",150
