Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Romani Leandro Gustavo,8,26,17,5,1,25,11,14,5,89,71,15,7,131,2.1923,48-2023-2024,4-2023-2024,2022-2023
Da Cruz Neto Walter,5,19,15,3,0,18,0,7,2,68,38,1,8,67,1.7895,154-2023-2024,12-2023-2024,2022-2023
Macarro Tortajada Daniel,9,35,20,9,0,41,6,21,4,137,77,9,5,121,1.6857,21-2023-2024,2-2023-2024,2022-2023
Mendez Jimenez Victor,9,34,30,18,0,62,0,10,4,123,63,6,7,119,1.5294,117-2023-2024,9-2023-2024,2022-2023
Dos Santos Cezar Moises,9,38,31,24,0,66,1,15,2,85,77,10,9,132,1.3421,86-2023-2024,6-2023-2024,2022-2023
Seybering David,8,34,13,20,0,50,8,15,3,106,71,5,7,119,1.3235,28-2023-2024,3-2023-2024,2022-2023
Flores Fabian Emanuel,9,35,26,39,0,116,1,9,2,110,75,5,6,108,1.2286,98-2023-2024,8-2023-2024,2022-2023
Saxton Vigrass Graham,3,7,4,2,0,14,0,2,1,19,12,3,1,21,1.1429,56-2023-2024,5-2023-2024,2022-2023
Ruiz Mira Borja,9,29,8,25,0,56,6,22,8,107,66,5,5,102,0.7931,139-2023-2024,10-2023-2024,2022-2023
Tellez Rodriguez Axel,6,18,12,19,1,44,2,14,1,61,31,8,3,54,0.0,120-2023-2024,9-2023-2024,2022-2023
Allen Serrano Luis Vidal,9,23,8,28,0,49,1,8,0,52,38,5,9,73,-0.1304,144-2023-2024,11-2023-2024,2022-2023
Knigge Matthew,26,88,63,73,1,240,15,54,12,316,232,7,19,355,1.7727,73-2022-2023,5-2022-2023,2022-2023
Palacios Santos Cristian,8,32,25,8,0,49,4,9,2,102,52,7,6,100,1.5938,42-2022-2023,3-2022-2023,2022-2023
Ribas Brockert Alejandro,21,74,47,33,0,99,5,19,12,247,128,19,14,256,1.2838,57-2022-2023,4-2022-2023,2022-2023
De Carvalho Furtado Carlos Manuel,12,44,24,12,0,47,8,26,7,130,85,11,18,169,1.1364,48-2022-2023,3-2022-2023,2022-2023
Allen Serrano Luis Vidal,8,19,6,5,1,17,3,9,1,30,42,10,6,79,1.0526,58-2022-2023,4-2022-2023,2022-2023
Mendez Jimenez Victor,25,89,72,67,5,242,6,40,5,298,169,27,19,303,1.0,107-2022-2023,8-2022-2023,2022-2023
Bernal Bravo Abel,15,57,18,10,0,38,12,44,11,211,98,20,30,223,0.4211,36-2022-2023,3-2022-2023,2022-2023
Mendez Jimenez Victor,23,86,67,18,0,105,4,30,11,271,182,18,13,273,2.0233,30-2021-2022,3-2021-2022,2022-2023
Enriquez Verdi Jose Manuel,22,76,54,27,0,89,9,22,5,241,115,9,12,235,1.4211,70-2021-2022,6-2021-2022,2022-2023
Ruiz Mira Borja,25,91,48,59,3,174,15,43,9,288,190,25,5,280,1.2967,50-2021-2022,4-2021-2022,2022-2023
De Carvalho Furtado Carlos Manuel,19,73,57,38,0,142,5,26,6,204,115,14,22,230,1.0548,56-2021-2022,5-2021-2022,2022-2023
Alzueta Joaquin,22,84,38,17,0,64,1,32,9,265,128,20,23,264,0.8929,1-2021-2022,1-2021-2022,2022-2023
En Nakhai Mohamed,18,48,17,5,0,23,5,24,8,142,77,17,13,162,0.8333,146-2021-2022,11-2021-2022,2022-2023
Gallego Joaquin,26,100,93,45,0,155,17,65,9,285,204,22,13,341,1.69,106-2020-2021,8-2020-2021,2020-2021
Knigge Matthew,33,111,83,58,3,206,26,72,18,447,244,18,15,382,1.6847,69-2020-2021,5-2020-2021,2020-2021
Dos Santos Cezar Moises,33,113,63,71,2,177,8,35,14,267,222,27,16,343,1.2566,63-2020-2021,5-2020-2021,2020-2021
Levandoski Renan Roberto,26,98,82,78,0,184,15,65,10,303,185,31,20,325,0.898,195-2020-2021,13-2020-2021,2020-2021
Grossi Anderson,16,57,36,29,1,85,5,28,6,156,97,13,16,178,0.8947,120-2020-2021,9-2020-2021,2020-2021
Enriquez Verdi Jose Manuel,8,29,13,19,0,35,2,9,5,81,47,7,5,91,0.7586,185-2020-2021,13-2020-2021,2020-2021
Mendez Jimenez Victor,25,91,43,64,0,160,9,21,10,270,153,26,27,320,0.7363,134-2020-2021,10-2020-2021,2020-2021
Dos Santos Carlos Antonio,25,83,53,66,4,158,5,28,10,299,148,30,19,285,0.7108,127-2020-2021,9-2020-2021,2020-2021
Guerra Uteau SImon,25,89,22,36,5,106,6,27,14,284,132,22,13,270,0.6404,23-2020-2021,2-2020-2021,2020-2021
Knigge Matthew,20,78,61,15,3,97,25,59,21,281,206,23,21,344,2.1923,10-2019-2020,1-2019-2020,2019-2020
Marques de Oliveira Renato,18,71,38,28,0,92,12,23,4,192,135,17,17,254,1.4085,36-2019-2020,3-2019-2020,2019-2020
Dos Santos Cezar Moises,20,79,70,37,0,123,4,31,9,246,132,16,15,240,1.3544,126-2019-2020,10-2019-2020,2019-2020
Armesto Lucas,7,27,12,10,0,22,2,6,4,64,46,7,2,83,1.2963,41-2019-2020,3-2019-2020,2019-2020
Cheng-Yang Wu,20,75,33,38,4,108,23,44,21,287,129,22,9,239,0.9067,168-2019-2020,12-2019-2020,2019-2020
Grossi Anderson,20,76,56,67,1,149,12,42,10,246,135,11,17,268,0.8553,72-2019-2020,6-2019-2020,2019-2020
Mendez Jimenez Victor,20,73,58,51,0,160,5,29,12,242,104,30,8,230,0.6712,61-2019-2020,5-2019-2020,2019-2020
