Posicion,Equipo,PJ,G,P,PTS,id_equipo,temporada
1,Unicaja Almeria,9,8,1,24,10-2023-2024,2023-2024
2,Rio Duero Soria,9,8,1,24,8-2023-2024,2023-2024
3,Guaguas,9,8,1,23,5-2023-2024,2023-2024
4,CV Melilla,9,6,3,17,6-2023-2024,2023-2024
5,Cisneros Alter,9,5,4,16,2-2023-2024,2023-2024
6,CV Teruel,9,5,4,12,9-2023-2024,2023-2024
7,Manacor,9,4,5,13,4-2023-2024,2023-2024
8,Conqueridor Valencia,9,3,6,10,11-2023-2024,2023-2024
9,CV San Roque,9,3,6,8,7-2023-2024,2023-2024
10,Voley Palma,9,2,7,9,3-2023-2024,2023-2024
11,Arenal Emeve,9,2,7,5,1-2023-2024,2023-2024
12,CV Villena Petrer,9,0,9,1,12-2023-2024,2023-2024
1,Guaguas,22,22,0,66,5-2022-2023,2022-2023
2,Rio Duero Soria,22,18,4,53,9-2022-2023,2022-2023
3,CV Teruel,22,16,6,48,8-2022-2023,2022-2023
4,CV Melilla,22,15,7,45,7-2022-2023,2022-2023
5,Conqueridor Valencia,22,14,8,41,6-2022-2023,2022-2023
6,Unicaja Almeria,22,12,10,36,11-2022-2023,2022-2023
7,Barca Voleibol,22,10,12,30,2-2022-2023,2022-2023
8,Arenal Emeve,22,9,13,28,1-2022-2023,2022-2023
9,Manacor,22,9,13,26,4-2022-2023,2022-2023
10,Voley Palma,22,5,17,16,3-2022-2023,2022-2023
11,Voley Textil Santanderina,22,1,21,5,12-2022-2023,2022-2023
12,Rotogal Boiro,22,1,21,2,10-2022-2023,2022-2023
1,CV Melilla,22,18,4,54,8-2021-2022,2021-2022
2,Unicaja Almeria,22,18,4,53,12-2021-2022,2021-2022
3,Guaguas,22,16,6,48,4-2021-2022,2021-2022
4,Rio Duero Soria,22,15,7,42,9-2021-2022,2021-2022
5,Voley Palma,22,13,9,37,5-2021-2022,2021-2022
6,CV Teruel,22,12,10,37,2-2021-2022,2021-2022
7,Rotogal Boiro,22,10,12,35,10-2021-2022,2021-2022
8,Manacor,22,11,11,33,3-2021-2022,2021-2022
9,Conqueridor Valencia,22,7,15,19,7-2021-2022,2021-2022
10,Arenal Emeve,22,6,16,18,1-2021-2022,2021-2022
11,Intasa,22,3,19,11,6-2021-2022,2021-2022
12,Ibiza Voley,22,3,19,9,11-2021-2022,2021-2022
1,Guaguas,26,24,2,72,5-2020-2021,2020-2021
2,CV Teruel,26,23,3,70,3-2020-2021,2020-2021
3,Unicaja Almeria,26,20,6,58,11-2020-2021,2020-2021
4,Voley Palma,26,17,9,49,12-2020-2021,2020-2021
5,CV Melilla,26,16,10,46,6-2020-2021,2020-2021
6,Rio Duero Soria,26,14,12,41,7-2020-2021,2020-2021
7,Manacor,26,14,12,41,4-2020-2021,2020-2021
8,Arenal Emeve,26,11,15,32,1-2020-2021,2020-2021
9,Rotogal Boiro,26,9,17,30,8-2020-2021,2020-2021
10,Ibiza Voley,26,8,18,29,10-2020-2021,2020-2021
11,Grau,26,8,18,28,9-2020-2021,2020-2021
12,Voley Textil Santanderina,26,9,17,26,14-2020-2021,2020-2021
13,Barca Voleibol,26,7,19,18,2-2020-2021,2020-2021
14,Voleibol Almoradi,26,2,24,6,13-2020-2021,2020-2021
1,Unicaja Almeria,20,19,1,54,7-2019-2020,2019-2020
2,CV Teruel,20,16,4,49,2-2019-2020,2019-2020
3,Voley Palma,20,13,7,42,8-2019-2020,2019-2020
4,Ibiza Voley,20,13,7,38,9-2019-2020,2019-2020
5,Vecindario Las Palmas,20,12,8,36,10-2019-2020,2019-2020
6,Grau,20,10,10,34,6-2019-2020,2019-2020
7,Arenal Emeve,20,12,8,30,1-2019-2020,2019-2020
8,Voley Textil Santanderina,20,6,14,20,12-2019-2020,2019-2020
9,Rio Duero Soria,20,7,13,19,5-2019-2020,2019-2020
10,Manacor,20,5,15,18,3-2019-2020,2019-2020
11,Voleibol Almoradi,20,5,15,15,11-2019-2020,2019-2020
12,CV Melilla,20,2,18,5,4-2019-2020,2019-2020
