Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
Rio Duero Soria,9,35,608,226,382,311,821,37,129,1.1,11.0,630,44,142,177,28.0,21.0,997,63,61,480,48.0,36.0,157,91,2.6,8-2023-2024,2023-2024
Voley Palma,9,37,576,206,370,230,790,41,112,1.1,9.0,720,47,139,210,29.0,23.0,1053,103,84,464,44.0,26.0,88,71,1.9,3-2023-2024,2023-2024
CV San Roque,9,38,572,190,382,201,803,34,144,0.9,14.0,723,63,190,244,34.0,25.0,965,90,74,458,47.0,30.0,77,80,2.1,7-2023-2024,2023-2024
Conqueridor Valencia,9,37,568,210,358,229,789,53,109,1.4,7.0,690,55,189,145,21.0,13.0,1011,96,79,453,45.0,27.0,155,62,1.7,11-2023-2024,2023-2024
Cisneros Alter,9,35,547,170,377,226,777,32,143,0.9,14.0,641,26,163,230,36.0,32.0,893,86,66,446,50.0,33.0,28,69,2.0,2-2023-2024,2023-2024
Arenal Emeve,9,33,514,155,359,161,680,26,126,0.8,15.0,693,43,182,230,33.0,27.0,935,99,85,419,45.0,25.0,55,69,2.1,1-2023-2024,2023-2024
Guaguas,9,32,511,221,290,248,745,53,112,1.7,8.0,506,37,120,184,36.0,29.0,765,59,55,379,50.0,35.0,81,79,2.5,5-2023-2024,2023-2024
Unicaja Almeria,9,29,511,211,300,279,699,56,112,1.9,8.0,466,29,116,146,31.0,25.0,692,41,50,392,57.0,43.0,106,63,2.2,10-2023-2024,2023-2024
CV Teruel,9,34,510,170,340,202,734,20,122,0.6,14.0,635,28,170,176,28.0,23.0,892,81,77,398,45.0,27.0,107,92,2.7,9-2023-2024,2023-2024
CV Melilla,9,31,510,183,327,232,730,42,119,1.4,11.0,583,37,138,252,43.0,37.0,847,54,68,406,48.0,34.0,80,62,2.0,6-2023-2024,2023-2024
Manacor,9,31,496,180,316,227,687,51,94,1.6,6.0,573,45,145,205,36.0,28.0,791,64,66,377,48.0,31.0,65,68,2.2,4-2023-2024,2023-2024
CV Villena Petrer,9,32,451,130,321,139,686,20,119,0.6,14.0,639,34,140,237,37.0,32.0,900,72,87,385,43.0,25.0,52,46,1.4,12-2023-2024,2023-2024
Rio Duero Soria,30,109,1752,671,1081,669,2526,156,489,1.4,13.0,1942,123,462,672,35.0,28.0,2852,232,239,1353,47.0,31.0,377,243,2.2,9-2022-2023,2022-2023
Guaguas,29,97,1735,781,954,965,2366,177,355,1.8,8.0,1511,80,432,517,34.0,29.0,2424,173,164,1312,54.0,40.0,297,248,2.6,5-2022-2023,2022-2023
CV Teruel,28,102,1635,615,1020,763,2360,111,376,1.1,11.0,1798,109,453,486,27.0,21.0,2577,208,179,1252,49.0,34.0,413,272,2.7,8-2022-2023,2022-2023
CV Melilla,27,96,1570,613,957,679,2230,115,351,1.2,11.0,1729,119,429,658,38.0,31.0,2537,216,205,1191,47.0,30.0,344,264,2.8,7-2022-2023,2022-2023
Conqueridor Valencia,25,94,1539,566,973,628,2130,129,328,1.4,9.0,1783,112,464,548,31.0,24.0,2597,237,234,1196,46.0,28.0,328,214,2.3,6-2022-2023,2022-2023
Unicaja Almeria,25,91,1438,558,880,557,2064,128,362,1.4,11.0,1694,103,431,515,30.0,24.0,2362,199,217,1053,45.0,27.0,386,257,2.8,11-2022-2023,2022-2023
Arenal Emeve,24,86,1310,442,868,449,1854,95,260,1.1,9.0,1664,118,501,479,29.0,22.0,2402,246,237,1057,44.0,24.0,152,158,1.8,1-2022-2023,2022-2023
Barca Voleibol,24,84,1294,457,837,434,1874,116,381,1.4,14.0,1578,130,402,536,34.0,26.0,2093,182,167,998,48.0,31.0,187,180,2.1,2-2022-2023,2022-2023
Voley Palma,22,83,1239,390,849,365,1790,76,291,0.9,12.0,1656,110,415,535,32.0,26.0,2382,223,250,1001,42.0,22.0,101,162,2.0,3-2022-2023,2022-2023
Manacor,22,77,1201,447,754,476,1701,107,245,1.4,8.0,1491,124,389,567,38.0,30.0,2038,167,189,906,44.0,27.0,148,188,2.4,4-2022-2023,2022-2023
Voley Textil Santanderina,22,75,1010,307,703,297,1488,70,202,0.9,9.0,1562,115,493,491,31.0,24.0,2044,237,159,788,39.0,19.0,216,152,2.0,12-2022-2023,2022-2023
Rotogal Boiro,22,72,910,276,634,92,1390,69,239,1.0,12.0,1479,116,482,543,37.0,29.0,1942,242,221,718,37.0,13.0,69,123,1.7,10-2022-2023,2022-2023
CV Melilla,29,111,1838,721,1117,901,2543,144,376,1.3,9.0,1943,128,481,589,30.0,24.0,2780,213,220,1425,51.0,36.0,185,269,2.4,8-2021-2022,2021-2022
Unicaja Almeria,28,112,1795,762,1033,1017,2465,164,329,1.5,7.0,1782,118,432,487,27.0,21.0,2634,146,185,1318,50.0,37.0,358,313,2.8,12-2021-2022,2021-2022
Guaguas,28,104,1777,696,1081,898,2425,166,369,1.6,8.0,1828,92,506,631,35.0,29.0,2629,205,213,1374,52.0,36.0,293,237,2.3,4-2021-2022,2021-2022
CV Teruel,25,99,1610,557,1053,754,2213,117,361,1.2,11.0,1879,110,440,627,33.0,28.0,2546,196,189,1270,50.0,35.0,119,223,2.3,2-2021-2022,2021-2022
Voley Palma,26,99,1592,562,1030,711,2215,115,307,1.2,9.0,1873,108,423,684,37.0,31.0,2769,238,228,1296,47.0,30.0,131,181,1.8,5-2021-2022,2021-2022
Rio Duero Soria,23,90,1440,520,920,655,2007,121,329,1.3,10.0,1594,105,397,495,31.0,24.0,2194,163,188,1110,51.0,35.0,226,209,2.3,9-2021-2022,2021-2022
Manacor,24,89,1434,520,914,527,1981,147,406,1.7,13.0,1660,122,428,661,40.0,32.0,2174,192,187,1096,50.0,33.0,75,191,2.1,3-2021-2022,2021-2022
Rotogal Boiro,23,95,1407,486,921,560,2009,111,335,1.2,11.0,1734,124,509,641,37.0,30.0,2231,204,184,1121,50.0,33.0,106,175,1.8,10-2021-2022,2021-2022
Conqueridor Valencia,22,81,1161,435,726,333,1697,122,310,1.5,11.0,1483,146,428,506,34.0,24.0,1874,189,183,902,48.0,28.0,155,137,1.7,7-2021-2022,2021-2022
Arenal Emeve,22,84,1152,343,809,336,1712,59,260,0.7,12.0,1614,100,417,661,41.0,35.0,2197,234,222,972,44.0,23.0,79,121,1.4,1-2021-2022,2021-2022
Intasa,22,79,1108,338,770,383,1588,73,259,0.9,12.0,1556,113,317,579,37.0,30.0,2002,172,181,892,45.0,27.0,119,143,1.8,6-2021-2022,2021-2022
Ibiza Voley,22,75,1053,332,721,296,1542,81,269,1.1,12.0,1500,115,356,546,36.0,29.0,1983,208,165,826,42.0,23.0,57,146,1.9,11-2021-2022,2021-2022
Unicaja Almeria,34,136,2154,797,1357,989,2992,202,495,1.5,-10.0,2376,156,556,797,34.0,27.0,3375,237,277,1618,48.0,33.0,420,334,2.5,11-2020-2021,2020-2021
Guaguas,33,114,1985,784,1201,1198,2725,132,326,1.2,7.0,1880,96,415,808,43.0,38.0,2930,188,177,1564,53.0,41.0,275,289,2.5,5-2020-2021,2020-2021
CV Teruel,31,114,1905,743,1162,946,2620,144,416,1.3,10.0,1949,123,490,618,32.0,25.0,2872,227,193,1451,51.0,36.0,149,310,2.7,3-2020-2021,2020-2021
CV Melilla,30,116,1869,716,1153,893,2575,147,372,1.3,9.0,2097,130,482,716,34.0,28.0,3030,225,249,1446,48.0,32.0,164,276,2.4,6-2020-2021,2020-2021
Rio Duero Soria,29,116,1868,675,1193,751,2583,160,437,1.4,11.0,2156,140,515,722,33.0,27.0,3036,269,271,1437,47.0,30.0,322,271,2.3,7-2020-2021,2020-2021
Voley Palma,28,107,1733,633,1100,768,2373,136,380,1.3,10.0,1934,110,383,751,39.0,33.0,2844,248,227,1367,48.0,31.0,154,230,2.1,12-2020-2021,2020-2021
Arenal Emeve,28,110,1676,537,1139,579,2334,115,356,1.0,10.0,2131,132,552,999,47.0,41.0,3005,321,288,1388,46.0,26.0,164,173,1.6,1-2020-2021,2020-2021
Manacor,29,108,1669,642,1027,579,2360,216,441,2.0,10.0,1990,130,495,826,42.0,35.0,2628,238,281,1230,47.0,27.0,113,223,2.1,4-2020-2021,2020-2021
Rotogal Boiro,26,100,1571,546,1025,595,2202,148,396,1.5,11.0,1919,157,507,751,39.0,31.0,2469,241,182,1213,49.0,32.0,171,210,2.1,8-2020-2021,2020-2021
Ibiza Voley,26,99,1523,544,979,601,2125,116,353,1.2,11.0,1881,119,482,668,36.0,29.0,2587,216,234,1145,44.0,27.0,335,262,2.6,10-2020-2021,2020-2021
Grau,26,97,1431,489,942,547,2074,91,245,0.9,-7.0,1864,121,519,702,38.0,31.0,2756,263,255,1159,42.0,23.0,319,181,1.9,9-2020-2021,2020-2021
Voley Textil Santanderina,26,98,1385,458,927,541,2073,66,274,0.7,10.0,1848,158,407,634,34.0,26.0,2465,206,206,1062,43.0,26.0,236,257,2.6,14-2020-2021,2020-2021
Barca Voleibol,26,96,1377,468,909,379,1952,128,341,1.3,11.0,1880,155,548,600,32.0,24.0,2491,267,235,1063,43.0,23.0,210,186,1.9,2-2020-2021,2020-2021
Voleibol Almoradi,26,89,1196,377,819,289,1805,93,247,1.0,9.0,1801,166,571,559,31.0,22.0,2255,229,265,965,43.0,21.0,233,138,1.6,13-2020-2021,2020-2021
Arenal Emeve,20,78,1237,462,775,500,1722,97,255,1.2,9.0,1445,83,380,669,46.0,41.0,2079,213,186,963,46.0,27.0,41,177,2.3,1-2019-2020,2019-2020
CV Teruel,20,71,1236,492,744,654,1677,102,274,1.4,10.0,1227,70,291,425,35.0,29.0,1732,137,101,918,53.0,39.0,90,216,3.0,2-2019-2020,2019-2020
Vecindario Las Palmas,20,79,1229,473,756,527,1799,87,261,1.1,10.0,1426,94,481,426,30.0,23.0,1961,178,169,927,47.0,30.0,98,215,2.7,10-2019-2020,2019-2020
Unicaja Almeria,20,73,1221,527,694,686,1738,107,237,1.5,7.0,1186,73,239,425,36.0,30.0,1747,109,116,908,52.0,39.0,262,206,2.8,7-2019-2020,2019-2020
Voley Palma,20,72,1205,472,733,557,1669,92,282,1.3,11.0,1307,82,343,476,36.0,30.0,1866,131,153,904,48.0,33.0,97,209,2.9,8-2019-2020,2019-2020
Manacor,20,80,1195,417,778,383,1671,120,276,1.5,-9.0,1539,131,449,591,38.0,30.0,1997,199,206,913,46.0,25.0,138,162,2.0,3-2019-2020,2019-2020
Rio Duero Soria,20,75,1174,428,746,422,1631,96,274,1.3,11.0,1437,87,334,591,41.0,35.0,1905,200,191,873,46.0,25.0,242,205,2.7,5-2019-2020,2019-2020
Grau,20,76,1169,417,752,557,1729,68,210,0.9,-8.0,1432,74,376,485,34.0,29.0,2245,158,170,932,42.0,27.0,219,169,2.2,6-2019-2020,2019-2020
Ibiza Voley,20,71,1165,444,721,485,1621,115,269,1.6,10.0,1267,82,322,427,34.0,27.0,1869,153,176,898,48.0,30.0,229,152,2.1,9-2019-2020,2019-2020
Voley Textil Santanderina,20,75,1109,385,724,325,1606,101,286,1.3,12.0,1468,98,350,458,31.0,25.0,1917,199,201,855,45.0,24.0,166,153,2.0,12-2019-2020,2019-2020
Voleibol Almoradi,20,77,1095,366,729,286,1610,84,273,1.1,12.0,1510,119,469,464,31.0,23.0,2045,180,237,872,43.0,22.0,227,139,1.8,11-2019-2020,2019-2020
