Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador,id_equipo,temporada
San Martin Rodriguez Alejandro,5,17,28,3,6,0,7,16,60,0.4167,102-2023-2024,8-2023-2024,2023-2024
Masia Porres Arnau,9,31,109,18,1,11,25,51,215,0.3721,71-2023-2024,6-2023-2024,2023-2024
Almansa Jorge,1,3,8,0,2,1,2,9,22,0.3182,61-2023-2024,5-2023-2024,2023-2024
Barrasa Portomene Samuel,5,10,22,3,0,1,16,16,58,0.3103,4-2023-2024,1-2023-2024,2023-2024
Piris Guiscafre Antoni,9,30,73,12,5,7,32,51,180,0.3,45-2023-2024,4-2023-2024,2023-2024
Piqueres Flor Nestor,9,32,92,8,17,18,41,69,245,0.2694,160-2023-2024,12-2023-2024,2023-2024
Paradela Corton Miguel,9,28,60,10,7,9,35,43,164,0.25,1-2023-2024,1-2023-2024,2023-2024
Dovale Fidalgo Mario,9,35,78,8,13,11,55,73,238,0.2479,16-2023-2024,2-2023-2024,2023-2024
Osado Carrasco Jose,9,36,72,13,13,9,18,79,204,0.2451,34-2023-2024,3-2023-2024,2023-2024
Gamiz Padilla Aharon,9,34,65,9,10,11,30,62,187,0.2406,125-2023-2024,9-2023-2024,2023-2024
Larranaga Ledo Unai,8,29,54,12,4,8,17,48,143,0.2378,60-2023-2024,5-2023-2024,2023-2024
Fernandez Martinez Francisco Jose,9,29,51,13,8,2,38,42,154,0.2338,132-2023-2024,10-2023-2024,2023-2024
Gallardo Hernandez Rodrigo,9,37,68,13,22,11,37,55,206,0.2136,90-2023-2024,7-2023-2024,2023-2024
Aulisi Santiago Karim,4,18,25,10,17,3,11,28,94,0.1277,105-2023-2024,8-2023-2024,2023-2024
Mengod Bautista Javier,8,30,39,13,31,9,41,51,184,0.0924,152-2023-2024,11-2023-2024,2023-2024
Iborra Ballester Hector,4,13,8,11,9,2,28,22,80,-0.0625,150-2023-2024,11-2023-2024,2023-2024
Larranaga Ledo Unai,26,90,232,32,18,14,67,94,457,0.407,104-2022-2023,7-2022-2023,2022-2023
Conde Barrios Lucas,1,3,11,0,0,1,7,6,25,0.4,76-2022-2023,5-2022-2023,2022-2023
Masia Porres Arnau,24,84,196,31,15,21,78,118,459,0.3137,19-2022-2023,2-2022-2023,2022-2023
Osado Carrasco Jose,22,83,236,27,20,34,96,181,594,0.2946,38-2022-2023,3-2022-2023,2022-2023
Ruiz Daniel,23,70,130,12,13,21,60,102,338,0.287,64-2022-2023,5-2022-2023,2022-2023
Ruda Martinez Florentino,1,4,16,5,0,1,8,5,35,0.2857,93-2022-2023,7-2022-2023,2022-2023
Fernandez Rojas Alejandro,16,41,55,12,0,8,20,28,123,0.2846,62-2022-2023,5-2022-2023,2022-2023
San Martin Rodriguez Alejandro,30,109,169,38,31,9,71,155,473,0.2579,123-2022-2023,9-2022-2023,2022-2023
Gamiz Padilla Aharon,28,102,152,22,47,16,70,136,443,0.2573,113-2022-2023,8-2022-2023,2022-2023
Sanchez Cano Victor,21,70,141,28,10,22,56,107,364,0.25,170-2022-2023,12-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,20,74,141,24,51,17,88,112,433,0.2309,30-2022-2023,3-2022-2023,2022-2023
Fernandez Martinez Francisco Jose,20,74,141,24,51,17,88,112,433,0.2309,161-2022-2023,11-2022-2023,2022-2023
Piris Guiscafre Antoni,21,74,173,44,12,27,90,108,454,0.2247,55-2022-2023,4-2022-2023,2022-2023
Mengod Bautista Javier,24,87,216,40,89,27,158,164,694,0.2147,90-2022-2023,6-2022-2023,2022-2023
Barrasa Portomene Samuel,15,46,92,18,15,15,60,77,277,0.213,7-2022-2023,1-2022-2023,2022-2023
Alves Castro Adrian,22,71,177,48,11,30,111,95,472,0.2097,131-2022-2023,10-2022-2023,2022-2023
Giustiniano Mariano Ariel,1,3,5,2,0,0,7,1,15,0.2,101-2022-2023,7-2022-2023,2022-2023
Redonda Camano David,1,3,5,0,0,2,3,6,16,0.1875,164-2022-2023,12-2022-2023,2022-2023
Gimenez Hernandez Jose Maria,5,17,27,6,13,4,17,28,95,0.1789,163-2022-2023,11-2022-2023,2022-2023
Gallardo Hernandez Rodrigo,19,53,73,24,9,20,68,86,280,0.1036,5-2022-2023,1-2022-2023,2022-2023
Iborra Ballester Hector,5,11,16,6,5,6,23,18,74,0.0541,87-2022-2023,6-2022-2023,2022-2023
