Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Conde Barrios Lucas,9,35,7,4,0,13,5,31,8,118,125,14,18,245,2.0,14-2023-2024,2-2023-2024,2023-2024
Calvo Leandro Omar,9,31,9,8,1,22,8,13,2,90,98,16,16,225,1.9677,47-2023-2024,4-2023-2024,2023-2024
Zonca Paolo,9,32,13,5,0,30,21,25,10,143,79,12,9,172,1.9375,64-2023-2024,5-2023-2024,2023-2024
Rodriguez Perez Victor,9,29,21,16,0,52,11,23,8,122,79,11,11,159,1.7241,130-2023-2024,10-2023-2024,2023-2024
Schulz Max,9,33,14,3,0,24,9,36,6,107,122,26,24,260,1.697,6-2023-2024,1-2023-2024,2023-2024
Liu Coltyn Go Yuen,9,30,4,11,0,18,11,29,7,118,94,10,17,186,1.4,44-2023-2024,4-2023-2024,2023-2024
Bruno Lopez Nicolas,9,30,2,11,0,26,9,20,7,119,79,11,11,161,1.2333,54-2023-2024,5-2023-2024,2023-2024
Giustiniano Mariano Ariel,9,30,3,7,0,17,10,23,4,123,74,10,11,159,1.2,79-2023-2024,6-2023-2024,2023-2024
Vanole Nogueira Silva Thiago,8,25,8,8,0,23,10,18,5,80,55,8,12,116,1.08,68-2023-2024,6-2023-2024,2023-2024
Nieves Suarez Carlos,8,28,1,10,0,16,8,9,1,70,57,8,10,114,1.0357,140-2023-2024,11-2023-2024,2023-2024
Villalba Zamorano Jose,9,35,15,17,1,44,10,34,9,154,77,9,8,180,0.9429,101-2023-2024,8-2023-2024,2023-2024
Funes Facundo Jesus,9,34,7,9,0,31,5,9,2,88,54,7,13,116,0.8235,142-2023-2024,11-2023-2024,2023-2024
Monfort Minaya Javier,9,33,5,21,0,46,10,23,3,118,100,28,16,246,0.8182,143-2023-2024,11-2023-2024,2023-2024
