Nombre,Partidos_jugados,Sets_jugados,Acciones_exitosas,Errores_colocador,_error_colocador,Puntos_negativos,Puntos_positivos,Acciones_positivas,Total_acumulado,Efic_Ranking,id_jugador,id_equipo,temporada
Cavanna Maximiliano,2,4,21,0,3,3,4,3,34,0.4412,65-2023-2024,5-2023-2024,2023-2024
Bertassoni Paulo Renan,9,29,166,2,13,39,19,15,254,0.4409,133-2023-2024,10-2023-2024,2023-2024
Riganti Juan Martin,9,31,199,0,25,46,63,19,352,0.3807,80-2023-2024,6-2023-2024,2023-2024
Roberts Ignacio,8,32,216,2,26,45,32,37,358,0.3743,23-2023-2024,2-2023-2024,2023-2024
Lorente Lopez Lucas,7,26,153,4,17,47,36,10,267,0.3596,97-2023-2024,8-2023-2024,2023-2024
Martin Perez Cesar,8,27,158,4,30,50,30,24,296,0.2838,51-2023-2024,4-2023-2024,2023-2024
Arjones Ferreiros Jaime,7,28,161,3,24,38,74,30,330,0.2818,39-2023-2024,3-2023-2024,2023-2024
Loeches Buitrago Guillermo,8,34,187,2,20,67,31,27,334,0.2784,88-2023-2024,6-2023-2024,2023-2024
Lorente Camacho Ruben,9,31,153,6,27,47,32,26,291,0.2749,116-2023-2024,9-2023-2024,2023-2024
Pont Perello Guillem,7,15,51,0,6,22,13,4,96,0.2604,122-2023-2024,9-2023-2024,2023-2024
de Amo Miguel Angel,9,31,157,0,15,62,30,22,286,0.2552,59-2023-2024,5-2023-2024,2023-2024
Monfort Minaya Vicente,9,36,155,1,24,55,35,26,296,0.25,147-2023-2024,11-2023-2024,2023-2024
Garcia Borras Hector,9,32,186,5,40,75,58,24,388,0.2242,156-2023-2024,12-2023-2024,2023-2024
Edward Batalla Dexter,8,30,176,0,39,64,44,36,359,0.2117,5-2023-2024,1-2023-2024,2023-2024
Bertassoni Paulo Renan,24,59,216,0,14,56,32,15,333,0.4354,67-2022-2023,5-2022-2023,2022-2023
de Amo Miguel Angel,20,65,333,4,36,88,63,34,558,0.3781,66-2022-2023,5-2022-2023,2022-2023
Gallego Sanchez Miguel,1,4,29,0,5,10,3,1,48,0.375,34-2022-2023,3-2022-2023,2022-2023
Folguera Xavier,6,22,148,0,25,24,69,22,288,0.3542,46-2022-2023,3-2022-2023,2022-2023
Perez Jaime,13,21,55,4,8,11,18,8,104,0.3462,117-2022-2023,9-2022-2023,2022-2023
Riganti Juan Martin,27,95,512,1,67,123,209,67,979,0.3289,102-2022-2023,7-2022-2023,2022-2023
Villar Alvarez Pablo,10,30,118,3,18,38,29,16,222,0.2883,9-2022-2023,1-2022-2023,2022-2023
Lorente Camacho Ruben,22,79,386,16,55,130,51,57,695,0.2863,105-2022-2023,8-2022-2023,2022-2023
Monfort Minaya Vicente,23,84,452,3,83,148,127,57,870,0.2839,83-2022-2023,6-2022-2023,2022-2023
Liot Tom,10,39,244,2,51,65,110,36,508,0.2815,44-2022-2023,3-2022-2023,2022-2023
Bakonji Bernard,23,81,382,13,62,135,83,45,720,0.2806,153-2022-2023,11-2022-2023,2022-2023
Loeches Buitrago Guillermo,20,64,299,3,46,111,69,32,560,0.2786,21-2022-2023,2-2022-2023,2022-2023
Lorente Lopez Lucas,27,99,565,29,81,193,108,82,1058,0.2741,120-2022-2023,9-2022-2023,2022-2023
Pont Perello Guillem,11,23,36,0,9,11,13,5,74,0.2703,50-2022-2023,4-2022-2023,2022-2023
Sanchez Coll Javier,1,3,15,0,5,3,12,2,37,0.2703,35-2022-2023,3-2022-2023,2022-2023
Ferreira Garcia Gabriel,22,67,348,1,64,106,94,65,678,0.2611,1-2022-2023,1-2022-2023,2022-2023
Martin Perez Cesar,20,71,404,2,69,146,114,65,800,0.2413,61-2022-2023,4-2022-2023,2022-2023
Garcia Borras Hector,20,61,110,0,20,29,47,28,234,0.2265,18-2022-2023,2-2022-2023,2022-2023
Portero Losilla Andres Francisco,16,26,63,2,13,20,19,14,131,0.2214,154-2022-2023,11-2022-2023,2022-2023
Arjones Ferreiros Jaime,20,65,308,4,80,136,96,77,701,0.1355,135-2022-2023,10-2022-2023,2022-2023
Rodrigues Dos Santos Felipe,21,68,313,3,53,173,103,76,721,0.0888,166-2022-2023,12-2022-2023,2022-2023
Sanchis Ignasi,11,31,44,0,11,32,10,9,106,0.0283,167-2022-2023,12-2022-2023,2022-2023
Riganti Juan Martin,28,105,615,2,77,106,180,62,1042,0.429,111-2021-2022,8-2021-2022,2021-2022
Ramirez Chueca Sergio,22,79,480,2,65,121,92,62,822,0.3613,37-2021-2022,3-2021-2022,2021-2022
Folguera Xavier,21,77,456,14,59,115,87,59,790,0.357,123-2021-2022,9-2021-2022,2021-2022
Sanchez Ignacio,25,95,625,2,101,131,234,82,1175,0.3506,64-2021-2022,5-2021-2022,2021-2022
Jukoski Da Silva Pedro H.,19,71,450,4,49,119,111,55,788,0.3503,15-2021-2022,2-2021-2022,2021-2022
Bertassoni Paulo Renan,22,79,460,3,41,125,97,61,787,0.3482,45-2021-2022,4-2021-2022,2021-2022
Bitar Gaspar,23,92,592,4,81,161,114,76,1028,0.3453,136-2021-2022,10-2021-2022,2021-2022
Portero Losilla Andres Francisco,19,32,106,0,10,34,25,11,186,0.328,166-2021-2022,12-2021-2022,2021-2022
Jovanovic Igor,23,81,395,0,43,153,94,31,716,0.2947,174-2021-2022,12-2021-2022,2021-2022
Monfort Minaya Vicente,17,62,312,1,50,103,66,52,584,0.2688,91-2021-2022,7-2021-2022,2021-2022
Martin Perez Cesar,10,31,69,0,10,28,10,8,125,0.264,46-2021-2022,4-2021-2022,2021-2022
Jovanovic Milan,19,63,101,0,16,39,38,9,203,0.2611,18-2021-2022,2-2021-2022,2021-2022
Gallego Sanchez Miguel,13,25,83,0,17,32,10,14,156,0.2372,33-2021-2022,3-2021-2022,2021-2022
Keegan Vicoy Michael Daniel,20,71,386,1,70,154,110,56,777,0.2265,68-2021-2022,6-2021-2022,2021-2022
Loeches Buitrago Guillermo,20,77,471,0,82,171,108,91,923,0.2264,4-2021-2022,1-2021-2022,2021-2022
Sanchez Carreres Javier,20,68,382,0,66,154,105,68,775,0.2065,157-2021-2022,11-2021-2022,2021-2022
Villar Alvarez Pablo,4,6,13,0,4,2,12,4,35,0.2,8-2021-2022,1-2021-2022,2021-2022
Osado Carrasco Jose,1,3,10,0,1,13,2,4,30,-0.2333,152-2021-2022,11-2021-2022,2021-2022
Bertassoni Paulo Renan,32,109,716,0,63,180,108,59,1126,0.4236,65-2020-2021,5-2020-2021,2021-2022
Martin Perez Cesar,31,97,493,6,39,139,87,52,816,0.3701,38-2020-2021,3-2020-2021,2021-2022
Perini de Aviz Ricardo,26,100,670,3,85,133,205,111,1207,0.3529,160-2020-2021,12-2020-2021,2021-2022
Gallego Sanchez Miguel,20,45,98,0,27,26,12,11,174,0.3506,53-2020-2021,4-2020-2021,2021-2022
Mora Sabate Carlos,3,9,35,1,6,10,8,3,63,0.3492,146-2020-2021,10-2020-2021,2021-2022
Sanchez Ignacio,25,94,523,1,68,155,120,71,938,0.3166,149-2020-2021,11-2020-2021,2021-2022
Folguera Xavier,27,111,663,5,88,186,135,107,1184,0.3125,102-2020-2021,7-2020-2021,2021-2022
Bitar Gaspar,25,97,616,0,83,203,108,97,1107,0.2855,111-2020-2021,8-2020-2021,2021-2022
Hernandez Romero Jose Maria,19,48,163,0,28,55,40,22,308,0.2792,187-2020-2021,13-2020-2021,2021-2022
Lorente Camacho Ruben,28,103,549,2,102,180,112,88,1033,0.272,50-2020-2021,4-2020-2021,2021-2022
Loeches Buitrago Guillermo,26,105,674,0,95,228,150,116,1263,0.2613,5-2020-2021,1-2020-2021,2021-2022
Villarreal Soltau Esteban Alberto,21,46,94,1,16,39,15,10,175,0.2571,152-2020-2021,11-2020-2021,2021-2022
Galdon German David,4,9,21,0,4,7,4,4,40,0.25,138-2020-2021,10-2020-2021,2021-2022
Riganti Juan Martin,28,110,599,6,92,233,159,86,1175,0.2383,82-2020-2021,6-2020-2021,2021-2022
Jovanovic Milan,25,73,219,0,22,85,49,37,412,0.2354,40-2020-2021,3-2020-2021,2021-2022
Ramirez Chueca Sergio,23,82,394,4,78,162,77,57,772,0.2267,135-2020-2021,10-2020-2021,2021-2022
Soteldo Francisco Jose,21,71,392,0,91,142,89,75,789,0.2218,170-2020-2021,13-2020-2021,2021-2022
Jukoski Da Silva Pedro H.,8,27,130,7,22,54,17,21,251,0.2191,21-2020-2021,2-2020-2021,2021-2022
Arranz Boyero Sergi,10,42,222,5,41,79,36,49,432,0.2176,26-2020-2021,2-2020-2021,2021-2022
De Mello Hernandez Felipe,16,56,281,0,42,119,54,52,548,0.2007,189-2020-2021,13-2020-2021,2021-2022
Steeman Tomas,21,61,158,1,26,66,47,31,329,0.1854,132-2020-2021,9-2020-2021,2021-2022
Herrera Allepuz Daniel,23,70,321,1,59,143,78,60,662,0.1782,125-2020-2021,9-2020-2021,2021-2022
Sanchis Ignasi,13,27,44,0,12,23,20,13,112,0.0714,22-2020-2021,2-2020-2021,2021-2022
Sanchez Cano Victor,1,1,6,0,3,5,2,3,19,-0.1053,139-2020-2021,10-2020-2021,2021-2022
Pei-Hung Huang,7,16,79,0,8,15,29,6,137,0.4234,95-2019-2020,7-2019-2020,2019-2020
Jukoski Da Silva Pedro H.,18,54,287,3,16,72,45,33,456,0.3991,16-2019-2020,2-2019-2020,2019-2020
Perini de Aviz Ricardo,16,55,329,0,48,67,110,37,591,0.3807,98-2019-2020,8-2019-2020,2019-2020
Soteldo Francisco Jose,16,56,275,1,45,59,62,37,479,0.3737,154-2019-2020,12-2019-2020,2019-2020
Martin Perez Cesar,17,54,149,0,11,47,27,18,252,0.3333,18-2019-2020,2-2019-2020,2019-2020
Putini Filho Pedro Luiz,16,48,204,12,37,58,35,27,373,0.319,111-2019-2020,9-2019-2020,2019-2020
Ramirez Chueca Sergio,16,46,155,1,13,58,19,17,263,0.3042,109-2019-2020,9-2019-2020,2019-2020
Ocampo Ulloa Matias,14,27,44,0,6,16,13,4,83,0.2892,134-2019-2020,10-2019-2020,2019-2020
De Mello Hernandez Felipe,20,78,474,0,86,157,101,76,894,0.2696,4-2019-2020,1-2019-2020,2019-2020
Sanchez Ignacio,16,52,261,0,35,96,42,38,472,0.2691,91-2019-2020,7-2019-2020,2019-2020
Lorente Camacho Ruben,20,80,445,4,85,152,111,72,869,0.2543,30-2019-2020,3-2019-2020,2019-2020
Sanchez Carreres Javier,19,73,323,0,56,117,73,50,619,0.252,128-2019-2020,10-2019-2020,2019-2020
