Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Santos Cunha Bruno,9,35,12,24,10,146,12,23,0,56,170,23,25,369,2.8286,106-2023-2024,8-2023-2024,2023-2024
Neaves Matthew Michael,9,29,9,24,6,95,9,16,0,39,132,16,15,228,2.7241,135-2023-2024,10-2023-2024,2023-2024
Dahl Ulrik Bo,9,38,20,35,17,153,14,13,0,33,181,36,31,394,2.6316,92-2023-2024,7-2023-2024,2023-2024
Rodriguez Dosal Angel,9,37,14,26,10,140,15,12,0,36,183,47,33,393,2.5405,35-2023-2024,3-2023-2024,2023-2024
Linares Jose Luis,9,33,12,26,7,108,7,6,0,20,158,32,30,328,2.5152,3-2023-2024,1-2023-2024,2023-2024
Martina Federico,9,29,3,2,2,61,4,7,0,18,86,5,9,168,2.4138,81-2023-2024,6-2023-2024,2023-2024
Nogueira Amorim Victor Lucas,7,27,6,15,3,79,9,1,0,12,105,27,14,205,2.3333,25-2023-2024,2-2023-2024,2023-2024
Martinez Palacios Miguel Angel,9,33,1,18,5,109,19,14,1,46,128,34,21,287,1.8182,118-2023-2024,9-2023-2024,2023-2024
Pereyra Hernan Federico,4,13,2,7,5,35,7,6,0,17,44,6,13,89,1.6154,78-2023-2024,6-2023-2024,2023-2024
Bezerra Souza Francisco Wallyson,8,25,10,20,4,80,6,11,0,23,68,7,15,150,1.24,58-2023-2024,5-2023-2024,2023-2024
Dangel Mulen Armando,9,36,11,15,5,93,6,23,0,48,103,28,24,251,0.8333,149-2023-2024,11-2023-2024,2023-2024
Osorio Recorda Gerard,9,32,3,37,5,90,8,5,0,20,112,20,35,267,0.8125,163-2023-2024,12-2023-2024,2023-2024
Moreno Mosquera Juan Pablo,4,13,2,10,3,38,1,8,0,16,36,8,9,70,0.3077,62-2023-2024,5-2023-2024,2023-2024
Miranda de Alcantara Victor Hugo,9,26,1,12,3,75,11,9,0,32,33,11,8,83,0.1923,46-2023-2024,4-2023-2024,2023-2024
Chourio Gonzalez Anderson Jose,1,3,0,0,0,4,0,0,0,4,2,2,3,9,-1.0,43-2023-2024,4-2023-2024,2023-2024
Linares Jose Luis,23,83,34,55,17,332,25,23,0,62,366,87,76,785,2.2169,12-2022-2023,1-2022-2023,2022-2023
Rattray Brandon,13,33,13,22,9,94,8,6,0,22,105,15,16,201,2.0303,68-2022-2023,5-2022-2023,2022-2023
De Melo Rodrigo Roberto,28,100,34,86,20,428,22,71,2,167,442,76,60,891,2.03,112-2022-2023,8-2022-2023,2022-2023
Alves Ramos Vitor,7,26,5,9,1,89,3,2,0,6,88,17,16,204,2.0,2-2022-2023,1-2022-2023,2022-2023
Martina Federico,27,92,8,36,7,236,27,33,0,86,334,64,75,730,1.75,103-2022-2023,7-2022-2023,2022-2023
Ferreira Marco,23,83,22,62,12,314,37,56,3,134,295,82,44,656,1.2892,156-2022-2023,11-2022-2023,2022-2023
Escobar Silvaa Yadrian,26,80,27,75,21,302,17,37,2,93,280,55,56,561,1.2375,63-2022-2023,5-2022-2023,2022-2023
Chourio Gonzalez Anderson Jose,19,68,3,11,11,201,25,15,0,47,190,53,57,461,1.2059,51-2022-2023,4-2022-2023,2022-2023
Moreno Mosquera Juan Pablo,30,109,64,145,33,485,40,66,3,146,449,113,98,982,1.1743,124-2022-2023,9-2022-2023,2022-2023
Nogueira Amorim Victor Lucas,25,92,33,83,16,316,29,52,0,132,347,95,78,735,1.0978,81-2022-2023,6-2022-2023,2022-2023
Osorio Recorda Gerard,24,84,25,98,12,249,12,25,0,50,269,50,50,655,0.9881,25-2022-2023,2-2022-2023,2022-2023
Pantaleao Luiz Felipe,11,33,2,16,2,82,12,7,0,27,89,32,20,219,0.8485,165-2022-2023,12-2022-2023,2022-2023
De la Rosa Canellas Antonio,22,83,15,55,9,293,12,10,1,42,261,77,77,685,0.8193,37-2022-2023,3-2022-2023,2022-2023
Peemuller Richard Willi,8,30,7,31,5,93,14,18,1,36,119,37,29,346,0.8,169-2022-2023,12-2022-2023,2022-2023
Quelle Rodriguez Juan,19,50,4,30,4,92,6,13,0,38,58,32,22,194,-0.58,140-2022-2023,10-2022-2023,2022-2023
Kukartsev Pavel,28,106,55,55,37,487,56,47,3,138,496,52,76,991,3.5283,173-2021-2022,12-2021-2022,2021-2022
De Melo Rodrigo Roberto,26,99,27,60,17,370,19,8,0,54,529,100,82,1049,3.2828,63-2021-2022,5-2021-2022,2021-2022
Pinheiro Leonardo Henrique,22,78,11,32,16,230,16,15,0,35,363,57,62,757,2.8718,76-2021-2022,6-2021-2022,2021-2022
Martina Federico,29,110,7,47,14,267,36,17,1,82,471,65,92,907,2.6545,112-2021-2022,8-2021-2022,2021-2022
Gimeno Rubio Alvaro,23,87,36,64,15,342,30,25,3,87,371,59,64,752,2.5517,115-2021-2022,9-2021-2022,2021-2022
Romero Gonzalez Jose Carlos,23,91,22,55,13,354,43,12,1,62,342,54,63,719,2.4396,138-2021-2022,10-2021-2022,2021-2022
Villena Rodriguez Andres,19,68,22,67,16,248,37,16,2,63,289,53,60,559,2.2059,20-2021-2022,2-2021-2022,2021-2022
Escobar Silvaa Yadrian,25,82,23,67,17,266,18,22,2,77,332,59,53,652,2.0732,42-2021-2022,4-2021-2022,2021-2022
Barsemian Raymond,23,79,41,56,14,280,11,0,0,15,211,41,39,465,1.6076,34-2021-2022,3-2021-2022,2021-2022
Bruschini Soto Agustin,15,58,13,46,9,189,19,9,0,35,231,66,52,531,1.5517,12-2021-2022,1-2021-2022,2021-2022
Nogueira Amorim Victor Lucas,11,45,20,49,10,161,11,14,0,36,173,41,41,337,1.3111,88-2021-2022,7-2021-2022,2021-2022
Dimitrov Rangelov Martin,11,32,1,3,5,74,4,1,0,5,56,11,8,120,1.1875,22-2021-2022,2-2021-2022,2021-2022
Chourio Gonzalez Anderson Jose,20,43,3,3,3,89,4,4,1,13,75,29,9,171,0.8372,28-2021-2022,3-2021-2022,2021-2022
Dangel Mulen Armando,19,65,41,63,12,248,10,17,0,33,162,41,39,360,0.8154,93-2021-2022,7-2021-2022,2021-2022
Borges Arthur,19,45,9,25,3,114,14,6,0,21,66,27,28,195,0.0667,148-2021-2022,11-2021-2022,2021-2022
Elasri Taoufiq,4,9,1,9,0,22,3,0,0,3,13,13,6,43,-1.2222,150-2021-2022,11-2021-2022,2021-2022
Kukartsev Pavel,33,114,40,67,37,465,75,34,1,141,529,63,64,1025,3.6404,71-2020-2021,5-2020-2021,2020-2021
De Melo Rodrigo Roberto,28,106,40,42,32,436,27,16,0,63,513,72,73,980,3.5566,165-2020-2021,12-2020-2021,2020-2021
Martina Federico,29,111,12,29,11,337,38,11,0,73,465,70,89,975,2.8468,85-2020-2021,6-2020-2021,2020-2021
Rattray Brandon,24,97,28,79,15,344,24,11,0,48,540,116,110,1023,2.8454,4-2020-2021,1-2020-2021,2020-2021
Gavenda Filip,27,91,19,73,21,273,52,12,2,86,373,43,59,705,2.8022,44-2020-2021,3-2020-2021,2020-2021
Moreno Mosquera Juan Pablo,26,100,50,96,29,405,21,19,0,47,379,82,73,770,1.8,112-2020-2021,8-2020-2021,2020-2021
Osorio Recorda Gerard,26,106,35,92,21,336,17,43,2,92,389,64,63,842,1.6698,99-2020-2021,7-2020-2021,2020-2021
Colito Lopes Augusto Renato,29,113,60,87,37,464,29,43,3,128,355,60,77,775,1.5398,147-2020-2021,11-2020-2021,2020-2021
Rodriguez Dosal Angel,28,94,44,83,11,291,27,12,0,47,274,69,67,622,1.2128,55-2020-2021,4-2020-2021,2020-2021
Dimitrov Rangelov Martin,25,78,7,19,3,255,23,15,1,48,175,36,45,443,1.141,197-2020-2021,13-2020-2021,2020-2021
Linares Jose Luis,22,80,23,57,13,280,20,48,1,89,295,74,76,704,1.025,122-2020-2021,9-2020-2021,2020-2021
Garcia Toribio Pedro Luis,20,65,29,63,12,210,4,18,0,25,246,74,63,505,0.9385,173-2020-2021,13-2020-2021,2020-2021
Lorenzo Martinez Pablo,14,44,7,26,7,119,6,12,0,19,151,44,43,367,0.8864,175-2020-2021,13-2020-2021,2020-2021
Chourio Gonzalez Anderson Jose,21,58,3,4,3,98,5,6,0,16,89,23,25,192,0.6724,48-2020-2021,4-2020-2021,2020-2021
Oliveira Wallaf,12,44,7,17,10,148,8,18,1,44,105,32,25,262,0.6136,145-2020-2021,10-2020-2021,2020-2021
Da Silva Fazanha Caio Fernando,26,86,48,89,14,272,22,30,1,65,249,85,74,589,0.4651,27-2020-2021,2-2020-2021,2020-2021
