,Equipo,id_equipo,informacion
0,Arenal Emeve,1,"
Datos de contacto:

Tlf: 670553183


Email: clubemevelugo@gmail.com

Pabellón Municipal de Deportes

Rua Santiago S/N

27002 - Lugo   Galicia

El Club Voleibol Emevé, cuyas siglas significan El Mejor Equipo de Voleibol de España, es un equipo de voleibol de la ciudad de Lugo situado en Galicia. Fue fundado en 1983 actualmente cuenta con un equipo en Superliga Masculina y en Superliga Femenina siendo a día de hoy el único club de España con dos equipos en la máxima categoría. El Club Voleibol Emevé es un club de formación que trabaja en la ciudad de Lugo con un número de jugadores y jugadoras que superan los 400 niños y niñas. Es un club que potencia y fomenta la igualdad, no en vano los puestos de responsabilidad de la directiva están ocupados por tres mujeres."
1,Cisneros Alter,2,"
Datos de contacto:

Tlf: 618253715

Email: gerencia@cdcisnerosalter.com / comunicaciones@cdcisnerosalter.com / info@cdcisnerosalter.com

Web: www.cdcisnerosalter.com

Calle Bentejui, 11, 38320 San Cristóbal de La Laguna. Santa Cruz de Tenerife. Canarias. España

El Club Deportivo Cisneros Alter (CDCA) de Tenerife es una entidad deportiva sin ánimo de lucro que fue constituida en septiembre de 2013 por un grupo de profesores y monitores del Colegio Cisneros Alter con la finalidad de desarrollar un proyecto de fomento de diferentes modalidades deportivas más allá de la actividad del centro educativo. "
2,Voley Palma,3,"
Datos de contacto

Email: clubvoleypalma@gmail.com

Camí de la Vileta, 40 (07011, Palma de Mallorca)

El Club Voleibol Palma nació en 2013. Después de llegar a competir por todo lo que estaba a su alcance en el C.V. Son Amar Palma, Damià Seguí decidió volver a la pista para ascender, al entonces Esporlas. El club que pasó a denominarse Ca'n Ventura Palma logróo 3 ascensos de forma consecutiva para situarse en la Superliga 2, competición donde tras caer derrotados en semifinales de la Copa Príncipe, consiguieron el ascenso definitivo a la máximas competición nacional, la Superliga, situando a Palma de Mallorca otra vez en la primera línea del voleibol nacional."
3,Manacor,4,"
Datos de contacto

Tlf: 635241727

Email: clubvoleypalma@gmail.com

Web : presidencia@voleimanacor.club

Pol. Miquel Angel Nadal
Cl. Nunsi Elegido 2
07500 - Manacor   Baleares

 El Club Voleibol Manacor es un equipo de voleibol de la ciudad de Manacor. Fundado en 1989, milita en la Superliga Masculina española, a la que ascendió tras la temporada 2017/18.Su nombre en competición es ConectaBalear Manacor. Además, cuenta con un equipo femenino que en 2020 ascendió a Primera Nacional."
4,Guaguas,5,"
Datos de contacto:

Tlf:  645 622 115 - 692 114 172

Email:info@clubvoleibolguaguas.com

Avda. Alcalde Ramírez Bethencourt s/n
35003 - Las Palmas de G.C.

En 1977 veía la luz el Club Voleibol Calvo Sotelo de la mano de un por entonces jovencísimo y visionario Juan Ruiz, junto a Felipe Nuez, que de la nada levantaban el que a la postre ha sido sin duda el club de voleibol más importante de la historia del archipiélago canario y uno de los equipos deportivos de referencia de nuestro país.
A finales de los 80 y durante gran parte de los 90, aquel equipo irrepetible dominó con mano de hierro el panorama voleibolístico de nuestro país, en directa rivalidad con Palma y Soria, haciendo del Centro Insular de los Deportes un fortín inexpugnable para sus rivales y de Las Palmas de Gran Canaria, el centro neurálgico del voleibol español."
5,CV Melilla,6,"
Datos de contacto:

Tlf:  689 967 290

Email: info@clubvoleibolmelilla.com

Plaza, Manuel Fernández de Castro y Pedrera, 2

Fundado en el año 2002, el Club Voleibol Melilla Capital dispone de dos equipos en categoría nacional. El equipo Masculino milita en la SuperLiga Masculina de Voleibol, desde la temporada 2015-2016, mientras que el femenino lo hace en la SuperLiga Femenina 2, desde la temporada 2022-2023.
El Voleibol es, en la actualidad, el deporte más seguido en Melilla gracias a los buenos resultados obtenidos en las competiciones nacionales, junto con una firme apuesta en la promoción y el apoyo del deporte femenino.
El Club Voleibol Melilla no deja de ser un club humilde que ha ido colocándose en los últimos años entre los equipos más importantes del voleibol nacional e internacional."
6,CV San Roque,7,"
Datos de contacto:

Tlf:  629 00 45 78

Email: cvsanroque@gmail.com

C/Severo Ochoa s.n.,
35015, Las Palmas de Gran Canaria.

Los inicios del Club Voleibol San Roque se remontan al año 1970 en el Colegio Nacional del barrio de San Roque en Las Palmas de Gran Canaria, que era un centro multideportivo de voleibol, balonmano, campo a través, atletismo, gimnasia deportiva, lucha canaria, etc.
Desde el principio y especialmente en la década de los años 1970 a 1979, el Voleibol era el deporte más practicado en el colegio, desarrollando una gran labor social, deportiva y de fomento de la salud en el barrio. Formando e inculcando a los alumnos en los valores que el deporte nos ofrece: respeto, ilusión, constancia, esfuerzo, solidaridad, superación, control, integración, aceptación de las reglas, deportividad y por encima de todo el trabajo en equipo. Eran las consignas diarias para recoger los resultados de las ligas insulares que se iban superando año tras año."
7,Rio Duero Soria,8,"
Datos de contacto:

Tlf:  34 659 32 98 78

Email: club@rioduerovoley.com

Calle de la Universidad s/n, 42004 Soria

C. Sta. Teresa de Jesús, 1, 42003 Soria

El Club Deportivo Voleibol Río Duero Soria se funda en el mes de 10 de septiembre de 2013 ante la necesidad de formalizar el movimiento que había surgido a través de la plataforma Salvemos el Vóley para evitar la desparición del voleibol de Superliga en Soria.1​
Desde la temporada 2013/14 el club cuenta con un primer equipo, el Río Duero Soria militando en Superliga Masculina de Voleibol de España, un equipo filial que juega en 2ª división regional, un equipo juvenil masculino, un cadete masculino, un equipo juvenil femenino y dos equipos cadetes femeninos, que participarán en los Campeonatos de Castilla y León así como una escuela mixta infantil y cadete, cuyo objetivo es promoción y captación de jóvenes valores. También colabora en la organización del torneo de Vóley-Paza que se desarrolla en la plaza de toros de Soria en el mes de agosto."
8,CV Teruel,9,"
Datos de contacto:

Tlf:  699645272 | 978 62 50 76

Email: club@voleibolteruel.com

El A. C. Club Voleibol Teruel es un equipo de voleibol de la ciudad de Teruel. Fundado en 1991, milita en la Superliga Masculina española, de forma ininterrumpida, desde la temporada 2006-07. Más conocido por su nombre en competición, Pamesa Teruel Voleibol, ha conseguido un total de 22 títulos nacionales en sus 15 temporadas al más alto nivel. Además, cuenta con un equipo femenino que actualmente milita en Primera División Nacional. Anteriormente tuvo la denominación de CAI Voleibol Teruel."
9,Unicaja Almeria,10,"
Datos de contacto:

Tlf:  950 62 07 30 | 950281592

Email: guillecarmona@almeriavoley.es

Pabellón Moises Ruiz
Carretera Níjar, 2
04007 - Almería

El Club Voleibol Almería, más conocido como Unicaja Almería o Unicaja Costa de Almería por motivos de patrocinio, es un club de voleibol con sede en Almería, España. Fue fundado en el año 1986 por un grupo de estudiantes —entre los que se encontraba Moisés Ruiz, antiguo entrenador del club— bajo el nombre de Club Voleibol Estudiantes"
