fecha,hora,Equipo,resultado,equipo
2023-10-07,18:30:00,Unicaja Costa de Almeria ,3 - 1,UPV Leleman Conqueridor
2023-10-07,19:00:00,Club Voley Palma ,2 - 3,Pamesa Teruel Voleibol
2023-10-07,19:00:00,Volei Villena Petrer ,0 - 3,CV Melilla
2023-10-08,12:00:00,CV San Roque ,0 - 3,CV Guaguas
2023-10-07,19:00:00,Cisneros Alter Tenerife ,3 - 0,Arenal Emeve
2023-10-07,19:30:00,Grupo Herce Soria ,3 - 0,Conectabalear CV Manacor
2023-10-14,18:00:00,Conectabalear CV Manacor ,0 - 3,Unicaja Costa de Almeria
2023-10-14,17:30:00,Arenal Emeve ,1 - 3,Grupo Herce Soria
2023-10-14,12:00:00,CV Guaguas ,3 - 2,Cisneros Alter Tenerife
2023-10-15,17:00:00,CV Melilla ,3 - 0,CV San Roque
2023-10-14,18:30:00,Pamesa Teruel Voleibol ,3 - 0,Volei Villena Petrer
2023-10-14,19:00:00,UPV Leleman Conqueridor ,3 - 1,Club Voley Palma
2023-10-18,18:30:00,Unicaja Costa de Almeria ,3 - 0,Club Voley Palma
2023-10-18,19:30:00,Volei Villena Petrer ,1 - 3,UPV Leleman Conqueridor
2023-10-18,20:00:00,CV San Roque ,2 - 3,Pamesa Teruel Voleibol
2023-10-18,19:00:00,Cisneros Alter Tenerife ,2 - 3,CV Melilla
2023-10-18,19:30:00,Grupo Herce Soria ,3 - 1,CV Guaguas
2023-10-18,19:00:00,Conectabalear CV Manacor ,3 - 0,Arenal Emeve
2023-10-21,19:45:00,Arenal Emeve ,0 - 3,Unicaja Costa de Almeria
2023-10-21,18:30:00,CV Guaguas ,3 - 0,Conectabalear CV Manacor
2023-10-22,17:00:00,CV Melilla ,0 - 3,Grupo Herce Soria
2023-10-21,18:30:00,Pamesa Teruel Voleibol ,3 - 0,Cisneros Alter Tenerife
2023-10-21,19:00:00,UPV Leleman Conqueridor ,2 - 3,CV San Roque
2023-10-21,19:00:00,Club Voley Palma ,3 - 0,Volei Villena Petrer
2023-10-28,18:30:00,Unicaja Costa de Almeria ,3 - 0,Volei Villena Petrer
2023-10-29,12:00:00,CV San Roque ,3 - 2,Club Voley Palma
2023-10-28,19:00:00,Cisneros Alter Tenerife ,3 - 0,UPV Leleman Conqueridor
2023-10-28,19:30:00,Grupo Herce Soria ,3 - 0,Pamesa Teruel Voleibol
2023-10-28,18:00:00,Conectabalear CV Manacor ,0 - 3,CV Melilla
2023-10-28,17:00:00,Arenal Emeve ,0 - 3,CV Guaguas
2023-11-04,18:30:00,CV Guaguas ,3 - 1,Unicaja Costa de Almeria
2023-11-05,17:00:00,CV Melilla ,3 - 1,Arenal Emeve
2023-11-04,18:30:00,Pamesa Teruel Voleibol ,3 - 2,Conectabalear CV Manacor
2023-11-04,18:30:00,UPV Leleman Conqueridor ,3 - 2,Grupo Herce Soria
2023-11-04,19:00:00,Club Voley Palma ,1 - 3,Cisneros Alter Tenerife
2023-11-05,11:30:00,Volei Villena Petrer ,2 - 3,CV San Roque
